case,Description,Default Value,BaseCase2014,BaseCase2015,BaseCase2016,BaseCase2017,BaseCase2018,BaseCase2019,BaseCase2020,BaseCase2021,BaseCase2022,BaseCase2023,BaseCase2024,Supply2015,Supply2016,Supply2017,Supply2018,Supply2019,Supply2020,Supply2021,Supply2022,Supply2023,Supply2024
timetype,Sequential or Intertemporal,int,,,,,,,,,,,,,,,,,,,,,
solver,Solver for GAMS to use,CPLEX,,,,,,,,,,,,,,,,,,,,,
augur_workers,Number of windows for Augur module runs,36,,,,,,,,,,,,,,,,,,,,,
yearset,Set of years that are modeled,yearset_2070.csv,,,,,,,,,,,,,,,,,,,,,
endyear,Last year to be modeled,2070,,,,,,,,,,,,,,,,,,,,,
WeatherYear,Weather year being used,2014,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
HourlyLoadFile,Load scenario name for capacity value and curtailment load duration curve data,NREL_India_Baseline_8760,,,,,,,,,,,,,,,,,,,,,
Binnedcap_file,"File name of binned non-RE capacity by BA, year, and VO&M bin",binned_capacity.csv,,,,,,,,,,,,,,,,,,,,,
Maxage_file,File name of maximum generator age file,maxage.csv,,,,,,,,,,,,,,,,,,,,,
PRMregion_file,File name of the PRM (planning reserve margin) by region,prm_region.csv,,,,,,,,,,,,,,,,,,,,,
PRMstate_file,File name of PRM (planning reserve margin) by state,prm_state.csv,,,,,,,,,,,,,,,,,,,,,
FuelLimit_file,File name of the fuel limit file to be used in scenario run,fuel_limit.csv,,,,,,,,,,,,,,,,,,,,,
FuelPrice_file,File name of the fuel prices to be used in scenario run,fprice.csv,,,,,,,,,,,,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv,fprice_low_h2.csv
TechCost_file,File name for the technology cost (units: INR/MW) and heat rate (units: kBtu/kWh) inputs,tech_costs_itc22.csv,,,,,,,,,,,,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv,tech_costs_itc22_low_bess_distpv_upv_wind_osw_h2.csv
