State,Abbrev,Code
Alabama,Ala.,al
Alaska,Alaska,ak
Arizona,Ariz.,az
Arkansas,Ark.,ar
California,Calif.,ca
Colorado,Colo.,co
Connecticut,Conn.,ct
Delaware,Del.,de
Florida,Fla.,fl
Georgia,Ga.,ga
Hawaii,Hawaii,hi
Idaho,Idaho,id
Illinois,Ill.,il
Indiana,Ind.,in
Iowa,Iowa,ia
Kansas,Kans.,ks
Kentucky,Ky.,ky
Louisiana,La.,la
Maine,Maine,me
Maryland,Md.,md
Massachusetts,Mass.,ma
Michigan,Mich.,mi
Minnesota,Minn.,mn
Mississippi,Miss.,ms
Missouri,Mo.,mo
Montana,Mont.,mt
Nebraska,Nebr.,ne
Nevada,Nev.,nv
New Hampshire,N.H.,nh
New Jersey,N.J.,nj
New Mexico,N.M.,nm
New York,N.Y.,ny
North Carolina,N.C.,nc
North Dakota,N.D.,nd
Ohio,Ohio,oh
Oklahoma,Okla.,ok
Oregon,Ore.,or
Pennsylvania,Pa.,pa
Rhode Island,R.I.,ri
South Carolina,S.C.,sc
South Dakota,S.D.,sd
Tennessee,Tenn.,tn
Texas,Tex.,tx
Utah,Utah,ut
Vermont,Vt.,vt
Virginia,Va.,va
Washington,Wash.,wa
West Virginia,W.Va.,wv
Wisconsin,Wis.,wi
Wyoming,Wyo.,wy
