r,rr,AC,DC,Project(s),Notes,rnum,rrnum
p1,p2,9000,0,,,1,2
p1,p4,9804,0,,,1,4
p2,p3,1942,0,,,2,3
p2,p4,4252,0,,,2,4
p2,p5,15397,0,,,2,5
p2,p14,5207,0,,,2,14
p3,p4,9721,0,,,3,4
p3,p5,762,0,,,3,5
p3,p14,8360,0,,,3,14
p3,p17,2843,0,,,3,17
p5,p6,3809,0,,,5,6
p5,p7,1778,0,,,5,7
p5,p10,0,2780,Pacific DC Intertie,,5,10
p5,p14,352,0,,,5,14
p5,p15,478,0,,,5,15
p6,p7,797,0,,,6,7
p6,p8,1939,0,,,6,8
p6,p9,2366.881243,0,,,6,9
p7,p8,50,0,,,7,8
p7,p12,1,0,,,7,12
p7,p15,1303,0,,,7,15
p8,p9,85.18212088,0,,,8,9
p8,p12,300,0,,,8,12
p9,p10,8242,0,,,9,10
p9,p12,105.8621733,0,,,9,12
p10,p11,7240,0,,,10,11
p10,p12,7.878115226,0,,,10,12
p10,p13,2283,0,,,10,13
p10,p25,0,1920,Intermountain Power Project (DC),,10,25
p10,p27,1746,0,,,10,27
p10,p28,1204.407438,0,,,10,28
p10,p136,947,0,,,10,136
p11,p135,500,0,,,11,135
p12,p13,252.8711057,0,,,12,13
p12,p15,863,0,,,12,15
p12,p25,319,0,,,12,25
p13,p25,155.772755,0,,,13,25
p13,p27,1955,0,,,13,27
p13,p28,2492,0,,,13,28
p14,p15,1204,0,,,14,15
p14,p17,1593,0,,,14,17
p15,p16,4469,0,,,15,16
p15,p17,2537,0,,,15,17
p15,p21,847,0,,,15,21
p15,p25,680,0,,,15,25
p16,p17,179,0,,,16,17
p16,p18,48,0,,,16,18
p16,p21,2853,0,,,16,21
p16,p25,785,0,,,16,25
p17,p18,2077,0,,,17,18
p17,p20,1789,0,,,17,20
p18,p19,262,0,,,18,19
p18,p20,2321,0,,,18,20
p18,p21,1361,0,,,18,21
p18,p22,94.55927052,0,,,18,22
p20,p35,0,200,Miles City Intertie (West-East),,20,35
p21,p24,295.8206687,0,,,21,24
p21,p25,1282,0,,,21,25
p21,p26,628,0,,,21,26
p22,p23,1010,0,,,22,23
p22,p24,518,0,,,22,24
p23,p24,868,0,,,23,24
p23,p32,2063,0,,,23,32
p24,p32,422,0,,,24,32
p24,p33,3320,0,,,24,33
p24,p39,0,310,Virginia Smith Intertie and Segall Intertie (West-East),changed to 310 MW (200 VS; 110 Segall),24,39
p25,p26,1237,0,,,25,26
p25,p28,142.2724496,0,,,25,28
p25,p31,299.0836897,0,,,25,31
p26,p33,239.2401216,0,,,26,33
p27,p28,799,0,,,27,28
p28,p29,5047,0,,,28,29
p28,p30,4209,0,,,28,30
p28,p31,3357,0,,,28,31
p29,p30,639,0,,,29,30
p29,p31,3602,0,,,29,31
p31,p34,690,0,,,31,34
p31,p47,0,200,Artesia Intertie (West-ERCOT),changed to 200 MW,31,47
p31,p48,0,200,Blackwater Intertie (West-East),changed to 200 MW,31,48
p31,p59,2859,0,,,31,59
p32,p38,0,200,Rapid City Intertie (West-East),,32,38
p33,p34,2735,0,,,33,34
p34,p52,0,210,Lamar Intertie (West-East),,34,52
p35,p36,609.5499,0,,,35,36
p36,p37,1127.729,0,,,36,37
p36,p38,2054.032,0,,,36,38
p37,p38,206.3271,0,,,37,38
p37,p42,647.2445,0,,,37,42
p37,p43,1678.682,1500,CU HVDC and Square Butte (DC),the DC projects were missing,37,43
p38,p39,314.5868,0,,,38,39
p38,p40,733.8224,0,,,38,40
p38,p43,84.39539,0,,,38,43
p38,p44,1147.3,0,,,38,44
p38,p45,1494.105,0,,,38,45
p39,p40,2750.307,0,,,39,40
p40,p41,1733.566,0,,,40,41
p40,p45,781.058,0,,,40,45
p40,p52,622.1238938,0,,,40,52
p41,p45,2798.112,0,,,41,45
p41,p53,332.7433628,0,,,41,53
p41,p54,1923.00885,0,,,41,54
p41,p70,819.4082,0,,,41,70
p42,p43,2296.634,0,,,42,43
p43,p44,947.2305,0,,,43,44
p43,p46,1554.97,0,,,43,46
p43,p68,1959.943,0,,,43,68
p44,p45,64.58801,0,,,44,45
p44,p68,202.7639,0,,,44,68
p45,p54,429.2035398,0,,,45,54
