region,year,capacity
p04017,2010,65.1
p06055,2010,36.8
p06089,2010,101.2
p06099,2010,1.0
p08063,2010,51.0
p16019,2010,124.5
p16039,2010,22.5
p16047,2010,16.8
p16073,2010,21.0
p16083,2010,21.0
p17063,2010,90.0
p17099,2010,200.0
p17105,2010,210.0
p18135,2010,1.0
p18181,2010,311.5
p19077,2010,1.5
p19143,2010,2.0
p19169,2010,1.5
p19171,2010,1.5
p19175,2010,1.5
p20097,2010,12.5
p20145,2010,48.0
p23007,2010,66.0
p23029,2010,25.5
p24023,2010,70.0
p25027,2010,3.0
p27051,2010,20.0
p27073,2010,0.8
p27091,2010,148.8
p27105,2010,200.0
p29075,2010,150.0
p31147,2010,60.0
p35006,2010,102.4
p38003,2010,62.4
p38011,2010,19.5
p38015,2010,102.4
p38065,2010,36.8
p40009,2010,39.2
p40129,2010,60.0
p40149,2010,99.2
p40153,2010,151.8
p41021,2010,98.7
p41055,2010,170.0
p41059,2010,66.1
p46025,2010,39.0
p46037,2010,60.0
p46039,2010,210.0
p48107,2010,5.0
p48169,2010,2.5
p48233,2010,20.0
p48261,2010,201.6
p48391,2010,8.1
p48409,2010,192.0
p48479,2010,150.0
p49045,2010,1.5
p53027,2010,6.0
p53037,2010,190.7
p53039,2010,50.0
p54025,2010,100.5
p55029,2010,20.0
p56007,2010,111.0
p56009,2010,200.0
p04015,2011,10.0
p06001,2011,78.2
p06013,2011,48.5
p06029,2011,270.0
p06037,2011,42.0
p06039,2011,1.6
p06055,2011,55.5
p06065,2011,49.5
p06069,2011,1.0
p06079,2011,42.0
p06083,2011,60.0
p06099,2011,2.0
p06111,2011,306.0
p08039,2011,252.0
p08123,2011,248.3
p16031,2011,52.8
p16039,2011,22.4
p16047,2011,22.5
p16073,2011,10.5
p16077,2011,124.2
p16083,2011,34.5
p17009,2011,1.5
p17011,2011,216.0
p17053,2011,150.0
p17075,2011,150.8
p17103,2011,23.4
p17113,2011,150.0
p19003,2011,198.0
p19029,2011,245.9
p19047,2011,100.0
p19055,2011,40.8
p19067,2011,1.6
p19081,2011,1.6
p19087,2011,1.5
p19089,2011,1.5
p19127,2011,119.6
p19143,2011,2.0
p19151,2011,31.9
p19191,2011,1.6
p20015,2011,54.0
p20049,2011,102.0
p20205,2011,44.0
p23017,2011,20.0
p23019,2011,60.0
p24023,2011,46.0
p25003,2011,15.0
p26001,2011,30.0
p26057,2011,66.0
p26069,2011,60.0
p26111,2011,36.0
p27037,2011,2.5
p27047,2011,201.3
p27063,2011,205.5
p27067,2011,20.0
p27073,2011,1.1
p27093,2011,20.0
p27101,2011,25.3
p27109,2011,1.2
p27117,2011,29.7
p27127,2011,0.1
p27133,2011,9.9
p27147,2011,44.0
p27157,2011,0.5
p27169,2011,3.6
p31011,2011,120.4
p31103,2011,3.0
p35029,2011,50.4
p36025,2011,21.3
p36043,2011,74.0
p36053,2011,30.0
p39097,2011,42.0
p39101,2011,57.0
p39161,2011,302.0
p40011,2011,4.8
p40015,2011,195.8
p40043,2011,130.0
p41021,2011,199.2
p41045,2011,3.0
p42033,2011,38.0
p42043,2011,3.2
p46003,2011,1.6
p46015,2011,159.3
p46073,2011,11.1
p48009,2011,99.198
p48107,2011,10.0
p48205,2011,4.2
p48371,2011,132.0
p48375,2011,78.2
p48503,2011,98.802
p49027,2011,102.0
p50019,2011,40.0
p51069,2011,23.7
p53039,2011,148.8
p53077,2011,50.0
p54027,2011,30.0
p54057,2011,4.0
p54083,2011,84.0
p54091,2011,13.6
p55021,2011,66.0
p55027,2011,96.0
p04005,2012,99.2
p06001,2012,42.0
p06013,2012,188.0
p06025,2012,270.5
p06029,2012,753.0
p06037,2012,36.0
p06055,2012,78.7
p06065,2012,61.3
p06083,2012,120.0
p06111,2012,404.0
p06113,2012,1.0
p08055,2012,14.5
p08073,2012,400.0
p08075,2012,71.0
p08101,2012,14.5
p16019,2012,115.8
p16039,2012,177.9
p17073,2012,281.0
p17103,2012,109.5
p17183,2012,200.0
p17203,2012,192.3
p18095,2012,200.0
p19001,2012,4.8
p19009,2012,200.1
p19015,2012,5.5
p19023,2012,99.0
p19025,2012,23.2
p19029,2012,1.6
p19031,2012,6.6
p19037,2012,4.3
p19065,2012,30.6
p19073,2012,52.5
p19077,2012,101.2
p19127,2012,105.6
p19151,2012,60.0
p19175,2012,3.2
p20047,2012,235.9
p20055,2012,48.0
p20057,2012,60.0
p20069,2012,287.5
p20077,2012,37.2
p20083,2012,66.0
p20095,2012,433.2
p20097,2012,78.0
p20105,2012,201.0
p23009,2012,34.5
p23017,2012,50.6
p24001,2012,36.0
p25003,2012,28.5
p25015,2012,3.0
p25027,2012,6.0
p26001,2012,60.0
p26035,2012,46.0
p26057,2012,192.0
p26105,2012,100.8
p26135,2012,4.0
p26143,2012,59.4
p26153,2012,28.0
p26157,2012,120.0
p27043,2012,36.0
p27105,2012,30.0
p27117,2012,102.0
p27133,2012,98.0
p30037,2012,10.0
p30045,2012,40.0
p30059,2012,9.6
p30101,2012,184.6
p30107,2012,10.0
p31027,2012,7.96
p31041,2012,79.9
p31107,2012,32.04
p32033,2012,150.0
p33005,2012,2.0
p33007,2012,99.0
p33009,2012,48.0
p34037,2012,0.1
p35025,2012,27.3
p36019,2012,215.3
p36065,2012,15.0
p36105,2012,4.1
p38059,2012,45.0
p38065,2012,210.0
p39117,2012,1.0
p40011,2012,68.437
p40015,2012,50.763
p40017,2012,66.0
p40043,2012,162.0
p40051,2012,274.8
p40053,2012,235.2
p40113,2012,5.8
p40117,2012,54.0
p40129,2012,132.0
p40139,2012,120.0
p40149,2012,148.8
p41021,2012,771.0
p41049,2012,74.0
p42021,2012,75.0
p42027,2012,6.2
p42033,2012,72.0
p42057,2012,20.4
p42063,2012,30.0
p42081,2012,69.0
p42111,2012,103.4
p42131,2012,140.8
p48009,2012,161.0
p48061,2012,401.6
p48065,2012,78.0
p48197,2012,39.4
p48237,2012,150.0
p48249,2012,4.499
p48273,2012,4.501
p48305,2012,61.2
p48359,2012,161.0
p48375,2012,1.6
p48421,2012,20.0
p48433,2012,30.0
p48463,2012,99.8
p48479,2012,91.2
p48487,2012,96.0
p48489,2012,203.0
p50011,2012,10.0
p50019,2012,65.0
p53013,2012,84.7
p53023,2012,258.0
p53037,2012,4.3
p53075,2012,105.3
p55081,2012,4.8
p08055,2013,8.0
p08075,2013,25.1
p19127,2013,44.6
p20067,2013,81.8
p20081,2013,168.0
p26001,2013,14.8
p26063,2013,100.3
p26069,2013,60.0
p31095,2013,74.8
p36023,2013,42.0
p36075,2013,52.4
p39097,2013,3.4
p48281,2013,42.0
p48333,2013,108.0
p06029,2014,30.0
p06031,2014,30.0
p06039,2014,1.8
p06069,2014,2.0
p06083,2014,108.0
p06111,2014,60.0
p08073,2014,200.6
p08075,2014,62.6
p18135,2014,200.0
p19075,2014,140.8
p19121,2014,108.0
p19175,2014,11.6
p19187,2014,251.0
p23007,2014,8.5
p24023,2014,40.0
p26007,2014,13.6
p26035,2014,20.0
p26051,2014,8.4
p26057,2014,50.4
p26063,2014,111.0
p26129,2014,108.0
p26135,2014,36.0
p26143,2014,20.8
p27027,2014,50.0
p30099,2014,10.0
p30107,2014,9.7
p31003,2014,14.6
p31011,2014,186.0
p31031,2014,3.8
p31041,2014,73.1
p35005,2014,15.0
p35009,2014,19.8
p36025,2014,16.2
p40011,2014,61.0
p40043,2014,337.0
p40099,2014,150.0
p40153,2014,98.6
p46025,2014,19.5
p48009,2014,67.431
p48065,2014,610.9
p48211,2014,162.0
p48261,2014,188.0
p48305,2014,211.0
p48357,2014,249.9
p48359,2014,161.0
p48381,2014,200.0
p48393,2014,126.6
p48445,2014,2.5
p48503,2014,0.169
p53013,2014,266.8
p04003,2015,30.0
p06001,2015,78.0
p06019,2015,2.5
p06029,2015,30.0
p06077,2015,7.9
p06083,2015,168.0
p08039,2015,70.0
p08041,2015,180.0
p08063,2015,150.0
p09150,2015,5.0
p17091,2015,175.0
p17183,2015,98.0
p19001,2015,1.9
p19003,2015,106.0
p19027,2015,20.7
p19141,2015,502.0
p20051,2015,200.5
p20135,2015,132.0
p20165,2015,75.3
p20191,2015,150.0
p20195,2015,42.0
p23003,2015,148.0
p23007,2015,25.7
p24023,2015,30.0
p27099,2015,196.0
p31011,2015,73.4
p31141,2015,6.8
p35041,2015,250.0
p38001,2015,107.5
p38059,2015,13.0
p38065,2015,192.0
p38079,2015,148.0
p40007,2015,198.0
p40019,2015,100.0
p40071,2015,180.0
p40093,2015,38.8
p40113,2015,269.4
p40117,2015,60.0
p40139,2015,301.7
p40149,2015,74.0
p46021,2015,97.8
p46067,2015,80.0
p48023,2015,300.0
p48045,2015,150.0
p48049,2015,114.0
p48065,2015,150.0
p48069,2015,240.0
p48077,2015,120.0
p48093,2015,86.1
p48115,2015,376.2
p48117,2015,59.7
p48153,2015,420.0
p48173,2015,207.2
p48205,2015,2.1
p48215,2015,90.0
p48219,2015,2.8
p48237,2015,194.0
p48247,2015,78.0
p48261,2015,75.0
p48359,2015,194.0
p48427,2015,310.0
p48479,2015,249.7
p08055,2016,60.8
p17053,2016,84.0
p17091,2016,100.0
p18003,2016,48.0
