*tech,region,year,sc_point_gid,capacity
wind-ons_9,p30035,2010,7317,101.4
wind-ons_8,p30101,2010,7697,104.2
wind-ons_7,p23003,2010,8728,42.0
wind-ons_4,p53037,2010,9165,44.0
wind-ons_7,p53037,2010,9166,168.0
wind-ons_7,p53037,2010,9546,60.6
wind-ons_9,p38019,2010,10440,118.5
wind-ons_9,p38019,2010,10441,40.5
wind-ons_7,p38069,2010,10810,149.0
wind-ons_9,p38071,2010,10820,40.5
wind-ons_7,p30013,2010,11880,9.0
wind-ons_9,p38101,2010,12322,4.5
wind-ons_7,p38049,2010,12324,11.9
wind-ons_9,p38101,2010,12702,115.5
wind-ons_9,p38101,2010,12703,2.6
wind-ons_9,p23029,2010,12911,57.0
wind-ons_8,p53013,2010,12978,149.4
wind-ons_8,p53013,2010,12979,78.0
wind-ons_5,p53039,2010,13339,136.3
wind-ons_6,p53039,2010,13342,199.0
wind-ons_6,p53005,2010,13350,95.0
wind-ons_7,p53013,2010,13358,7.2
wind-ons_8,p53013,2010,13359,156.0
wind-ons_6,p53039,2010,13718,262.2
wind-ons_7,p53039,2010,13720,94.0
wind-ons_5,p53039,2010,13721,98.9
wind-ons_8,p53039,2010,13722,204.0
wind-ons_6,p53071,2010,13731,176.9
wind-ons_7,p41021,2010,14100,163.3
wind-ons_5,p41049,2010,14104,102.9
wind-ons_6,p41059,2010,14111,122.8
wind-ons_6,p41059,2010,14112,43.0
wind-ons_8,p41055,2010,14480,221.0
wind-ons_6,p41049,2010,14484,98.7
wind-ons_6,p41049,2010,14485,9.9
wind-ons_5,p41049,2010,14486,5.0
wind-ons_5,p41049,2010,14487,10.0
wind-ons_4,p41059,2010,14488,6.6
wind-ons_6,p41059,2010,14493,98.9
wind-ons_8,p27137,2010,14655,25.0
wind-ons_10,p23007,2010,14795,66.0
wind-ons_7,p41055,2010,14858,24.0
wind-ons_8,p41055,2010,14859,125.4
wind-ons_9,p41055,2010,14860,100.8
wind-ons_6,p41021,2010,14861,102.9
wind-ons_6,p41049,2010,14864,72.0
wind-ons_6,p41049,2010,14866,9.9
wind-ons_6,p41059,2010,14867,10.0
wind-ons_5,p41059,2010,14868,9.9
wind-ons_3,p41059,2010,14872,25.0
wind-ons_8,p41055,2010,15239,81.0
wind-ons_6,p41021,2010,15241,76.5
wind-ons_6,p41021,2010,15242,100.5
wind-ons_6,p41049,2010,15247,8.3
wind-ons_9,p38091,2010,15383,49.5
wind-ons_6,p41049,2010,15626,3.3
wind-ons_6,p41049,2010,15627,1.7
wind-ons_9,p38065,2010,15742,50.6
wind-ons_9,p38055,2010,15745,49.5
wind-ons_8,p38039,2010,15762,120.0
wind-ons_5,p41021,2010,16000,24.6
wind-ons_6,p41021,2010,16001,25.2
wind-ons_7,p30107,2010,16069,135.0
wind-ons_8,p38065,2010,16122,48.0
