ba,st,state,load_factor
p1,WA,washington,0.5115165594371773
p2,WA,washington,0.26324382942377367
p3,WA,washington,0.1344211518031551
p4,WA,washington,0.0908119904872016
p5,OR,oregon,0.8592874204499747
p6,OR,oregon,0.11934022061432165
p7,OR,oregon,0.01985459009875604
p8,CA,california,0.0032795187646630034
p9,CA,california,0.325110728138313
p10,CA,california,0.5919027819069047
p11,CA,california,0.07977513043013078
p12,NV,nevada,0.25278104156459125
p13,NV,nevada,0.7472228790752967
p14,ID,idaho,0.12375970271193491
p15,ID,idaho,0.5650457175720032
p16,ID,idaho,0.314160855234027
p17,MT,montana,0.33219113780345233
p18,MT,montana,0.25326555934864364
p19,MT,montana,0.00589867148042108
p20,MT,montana,0.25585555076655897
p21,WY,wyoming,0.46344028865465253
p22,WY,wyoming,0.007444217298024535
p23,WY,wyoming,0.13380329124451193
p24,WY,wyoming,0.3953099192442463
p25,UT,utah,0.9530244399868264
p26,UT,utah,0.04696329013095026
p27,AZ,arizona,0.040672849586326096
p28,AZ,arizona,0.9070470079186399
p29,AZ,arizona,0.011311166853433963
p30,AZ,arizona,0.040679269075179283
p31,NM,new mexico,0.5702664022088522
p32,SD,south dakota,0.14920592752945291
p33,CO,colorado,0.7309085274623023
p34,CO,colorado,0.26909568026284414
p35,MT,montana,0.15279118364600758
p36,ND,north dakota,0.6948359356557953
p37,ND,north dakota,0.3193508724800651
p38,SD,south dakota,0.8559082879124654
p39,NE,nebraska,0.08697071148934579
p40,NE,nebraska,0.4216020916209493
p41,NE,nebraska,0.49142608355876577
p42,MN,minnesota,0.05632737151367018
p43,MN,minnesota,0.8477085898015918
p44,MN,minnesota,0.027001584264608133
p45,IA,iowa,0.2849133624609975
p46,WI,wisconsin,0.14508720945048031
p47,NM,new mexico,0.426137568811315
p48,TX,texas,0.04933001648796761
p49,OK,oklahoma,0.006938310181189854
p50,OK,oklahoma,0.6427558925834236
p51,OK,oklahoma,0.35030426806007214
p52,KS,kansas,0.06262100536725268
p53,KS,kansas,0.9347824117905436
p54,MO,missouri,0.40718753254381573
p55,MO,missouri,0.24290119123532097
p56,AR,arkansas,0.2649277856090123
p57,TX,texas,0.019571210209997546
p58,LA,louisiana,0.9517711626933267
p59,TX,texas,0.018534799397509457
p60,TX,texas,0.01691634712222921
p61,TX,texas,0.020517665352624767
p62,TX,texas,0.029899249167143614
p63,TX,texas,0.3532363732365735
p64,TX,texas,0.09504723868908593
p65,TX,texas,0.13270988778976864
p66,TX,texas,0.0779284940132246
p67,TX,texas,0.18655726555931257
p68,MN,minnesota,0.06463571318130909
p69,IA,iowa,0.08349959203604526
p70,IA,iowa,0.6313909765769075
p71,MO,missouri,0.0192688493243593
p72,MO,missouri,0.18271966277300491
p73,MO,missouri,0.036931892651145735
p74,MI,michigan,0.02642644780077689
p75,WI,wisconsin,0.15434380998452726
p76,WI,wisconsin,0.1932864739234621
p77,WI,wisconsin,0.05352059887813169
p78,WI,wisconsin,0.12247239594734796
p79,WI,wisconsin,0.3305291276382101
p80,IL,illinois,0.8475327667454936
p81,IL,illinois,0.0971552969999588
p82,IL,illinois,0.03301506566724128
p83,IL,illinois,0.022244107418627295
p84,MO,missouri,0.11224518111313157
p85,AR,arkansas,0.7350685713268127
p86,LA,louisiana,0.04895541709633223
p87,MS,mississippi,0.7208774597041108
p88,MS,mississippi,0.27786503925593303
p89,AL,alabama,0.5150982270900631
p90,AL,alabama,0.48575607918168945
p91,FL,florida,0.03625964407055688
p92,TN,tennessee,0.9999994005572767
p93,KY,kentucky,0.18346406610000118
p94,GA,georgia,0.9994810719304996
p95,SC,south carolina,0.3686050801277704
p96,SC,south carolina,0.6314688255429686
p97,NC,north carolina,0.4872328868395528
p98,NC,north carolina,0.5127662711656774
p99,VA,virginia,0.859457996650456
p100,VA,virginia,0.0207012712745285
p101,FL,florida,0.6232015413999401
p102,FL,florida,0.3405409122457158
p103,MI,michigan,0.909364403559034
p104,MI,michigan,0.06419709319913161
p105,IN,indiana,0.4992395661927933
p106,IN,indiana,0.162894212640949
p107,IN,indiana,0.3383139751524206
p108,KY,kentucky,0.13624603938326124
p109,KY,kentucky,0.6324011993499902
p110,KY,kentucky,0.0478827339310425
p111,OH,ohio,0.36680181574140525
p112,OH,ohio,0.3961200616579614
p113,OH,ohio,0.08545230104868601
p114,OH,ohio,0.15632340656807714
p115,PA,pennsylvania,0.2675660353510969
p116,WV,west virginia,0.6854574182792346
p117,WV,west virginia,0.2914850992657152
p118,VA,virginia,0.11419480545490929
p119,PA,pennsylvania,0.026215722825491325
p120,PA,pennsylvania,0.016716656094674435
p121,MD,maryland,0.10124845246892246
p122,PA,pennsylvania,0.6901304047065859
p123,MD,maryland,0.8987512435890714
p124,VA,virginia,0.0056465933163496185
p125,DE,delaware,0.9999968706102971
p126,NJ,new jersey,1.0174716253423381
p127,NY,new york,0.8430561547132965
p128,NY,new york,0.14668146884983269
p129,VT,vermont,0.9938892386556673
p130,NH,new hampshire,0.989202943295913
p131,MA,massachusetts,1.0030036711421566
p132,CT,connecticut,0.9999989855327922
p133,RI,rhode island,1.0000034880283784
p134,ME,maine,1.0000023393680995
p123,DC,district of columbia,1.0
