t,i,r,value
2017,DISTPV,Andhra_Pradesh,336.52
2018,DISTPV,Andhra_Pradesh,336.52
2021,DISTPV,Andhra_Pradesh,673.04
2022,DISTPV,Andhra_Pradesh,336.52
2023,DISTPV,Andhra_Pradesh,336.52
2017,HYDRO-PONDAGE,Andhra_Pradesh,50
2023,HYDRO-PONDAGE,Andhra_Pradesh,960
2017,UPV,Andhra_Pradesh,1972.6233
2018,UPV,Andhra_Pradesh,1399.6633
2021,UPV,Andhra_Pradesh,2799.3266
2022,UPV,Andhra_Pradesh,1399.6633
2023,UPV,Andhra_Pradesh,1399.6633
2017,WIND,Andhra_Pradesh,2544.7083
2018,WIND,Andhra_Pradesh,1113.2583
2021,WIND,Andhra_Pradesh,2226.5166
2022,WIND,Andhra_Pradesh,1113.2583
2023,WIND,Andhra_Pradesh,1113.2583
2017,DISTPV,Arunachal_Pradesh,0
2018,DISTPV,Arunachal_Pradesh,0
2021,DISTPV,Arunachal_Pradesh,0
2022,DISTPV,Arunachal_Pradesh,0
2023,DISTPV,Arunachal_Pradesh,0
2021,HYDRO-ROR,Arunachal_Pradesh,72
2022,HYDRO-ROR,Arunachal_Pradesh,72
2021,HYDRO-STORAGE,Arunachal_Pradesh,1455
2022,HYDRO-STORAGE,Arunachal_Pradesh,1255
2017,UPV,Arunachal_Pradesh,3.715
2018,UPV,Arunachal_Pradesh,0
2021,UPV,Arunachal_Pradesh,0
2022,UPV,Arunachal_Pradesh,0
2023,UPV,Arunachal_Pradesh,0
2017,WIND,Arunachal_Pradesh,0
2018,WIND,Arunachal_Pradesh,0
2021,WIND,Arunachal_Pradesh,0
2022,WIND,Arunachal_Pradesh,0
2023,WIND,Arunachal_Pradesh,0
2017,DISTPV,Assam,46
2018,DISTPV,Assam,46
2019,DISTPV,Assam,46
2020,DISTPV,Assam,46
2021,DISTPV,Assam,90.04
2022,DISTPV,Assam,46
2023,DISTPV,Assam,46
2017,UPV,Assam,18.49
2018,UPV,Assam,18.49
2019,UPV,Assam,18.49
2020,UPV,Assam,18.49
2021,UPV,Assam,18.49
2022,UPV,Assam,0
2023,UPV,Assam,0
2017,WIND,Assam,0
2018,WIND,Assam,0
2019,WIND,Assam,0
2020,WIND,Assam,0
2021,WIND,Assam,0
2022,WIND,Assam,0
2023,WIND,Assam,0
2017,DISTPV,Bihar,174.1033
2018,DISTPV,Bihar,169.0033
2021,DISTPV,Bihar,338.0066
2022,DISTPV,Bihar,169.0033
2023,DISTPV,Bihar,169.0033
2017,UPV,Bihar,0
2018,UPV,Bihar,0
2021,UPV,Bihar,0
2022,UPV,Bihar,0
2023,UPV,Bihar,0
2017,WIND,Bihar,0
2018,WIND,Bihar,0
2021,WIND,Bihar,0
2022,WIND,Bihar,0
2023,WIND,Bihar,0
2017,DISTPV,Chandigarh,9.165
2018,DISTPV,Chandigarh,0
2021,DISTPV,Chandigarh,0
2022,DISTPV,Chandigarh,0
2023,DISTPV,Chandigarh,0
2017,UPV,Chandigarh,0
2018,UPV,Chandigarh,0
2021,UPV,Chandigarh,0
2022,UPV,Chandigarh,0
2023,UPV,Chandigarh,0
2017,WIND,Chandigarh,0
2018,WIND,Chandigarh,0
2021,WIND,Chandigarh,0
2022,WIND,Chandigarh,0
2023,WIND,Chandigarh,0
2017,DISTPV,Chhattisgarh,119.8533
2018,DISTPV,Chhattisgarh,119.8533
2021,DISTPV,Chhattisgarh,239.7066
2022,DISTPV,Chhattisgarh,119.8533
2023,DISTPV,Chhattisgarh,119.8533
2017,UPV,Chhattisgarh,171.14
2018,UPV,Chhattisgarh,77.56
2021,UPV,Chhattisgarh,155.12
2022,UPV,Chhattisgarh,77.56
2023,UPV,Chhattisgarh,77.56
2017,WIND,Chhattisgarh,0
2018,WIND,Chhattisgarh,0
2021,WIND,Chhattisgarh,0
2022,WIND,Chhattisgarh,0
2023,WIND,Chhattisgarh,0
2017,DISTPV,Dadra_Nagar_Haveli,36.8533
2018,DISTPV,Dadra_Nagar_Haveli,36.8533
2021,DISTPV,Dadra_Nagar_Haveli,73.7066
2022,DISTPV,Dadra_Nagar_Haveli,36.8533
2023,DISTPV,Dadra_Nagar_Haveli,36.8533
2017,UPV,Dadra_Nagar_Haveli,0
2018,UPV,Dadra_Nagar_Haveli,0
2021,UPV,Dadra_Nagar_Haveli,0
2022,UPV,Dadra_Nagar_Haveli,0
2023,UPV,Dadra_Nagar_Haveli,0
2017,WIND,Dadra_Nagar_Haveli,0
2018,WIND,Dadra_Nagar_Haveli,0
2021,WIND,Dadra_Nagar_Haveli,0
2022,WIND,Dadra_Nagar_Haveli,0
2023,WIND,Dadra_Nagar_Haveli,0
2017,DISTPV,Daman_Diu,0
2018,DISTPV,Daman_Diu,0
2021,DISTPV,Daman_Diu,0
2022,DISTPV,Daman_Diu,0
2023,DISTPV,Daman_Diu,0
2017,UPV,Daman_Diu,6.8233
2018,UPV,Daman_Diu,0
2021,UPV,Daman_Diu,0
2022,UPV,Daman_Diu,0
2023,UPV,Daman_Diu,0
2017,WIND,Daman_Diu,0
2018,WIND,Daman_Diu,0
2021,WIND,Daman_Diu,0
2022,WIND,Daman_Diu,0
2023,WIND,Daman_Diu,0
2017,DISTPV,Delhi,206.5767
2018,DISTPV,Delhi,192.2967
2021,DISTPV,Delhi,384.5934
2022,DISTPV,Delhi,192.2967
2023,DISTPV,Delhi,192.2967
2017,UPV,Delhi,0
2018,UPV,Delhi,0
2021,UPV,Delhi,0
2022,UPV,Delhi,0
2023,UPV,Delhi,0
2017,WIND,Delhi,0
2018,WIND,Delhi,0
2021,WIND,Delhi,0
2022,WIND,Delhi,0
2023,WIND,Delhi,0
2017,DISTPV,Goa,28.52
2018,DISTPV,Goa,28.52
2021,DISTPV,Goa,57.04
2022,DISTPV,Goa,28.52
2023,DISTPV,Goa,28.52
2017,UPV,Goa,0
2018,UPV,Goa,0
2021,UPV,Goa,0
2022,UPV,Goa,0
2023,UPV,Goa,0
2017,WIND,Goa,0
2018,WIND,Goa,0
2021,WIND,Goa,0
2022,WIND,Goa,0
2023,WIND,Goa,0
2017,DISTPV,Gujarat,536.1867
2018,DISTPV,Gujarat,536.1867
2021,DISTPV,Gujarat,1072.3734
2022,DISTPV,Gujarat,536.1867
2023,DISTPV,Gujarat,536.1867
2017,UPV,Gujarat,2427.9107
2018,UPV,Gujarat,1308.795
2021,UPV,Gujarat,2617.59
2022,UPV,Gujarat,1308.795
2023,UPV,Gujarat,1308.795
2017,WIND,Gujarat,4832.583
2018,WIND,Gujarat,795.0833
2021,WIND,Gujarat,1590.1666
2022,WIND,Gujarat,795.0833
2023,WIND,Gujarat,795.0833
2017,DISTPV,Haryana,286.3533
2018,DISTPV,Haryana,286.3533
2021,DISTPV,Haryana,572.7066
2022,DISTPV,Haryana,286.3533
2023,DISTPV,Haryana,286.3533
2017,UPV,Haryana,79.9817
2018,UPV,Haryana,64.5917
2021,UPV,Haryana,129.1834
2022,UPV,Haryana,64.5917
2023,UPV,Haryana,64.5917
2017,WIND,Haryana,0
2018,WIND,Haryana,0
2021,WIND,Haryana,0
2022,WIND,Haryana,0
2023,WIND,Haryana,0
2017,DISTPV,Himachal_Pradesh,0
2018,DISTPV,Himachal_Pradesh,0
2021,DISTPV,Himachal_Pradesh,0
2022,DISTPV,Himachal_Pradesh,0
2023,DISTPV,Himachal_Pradesh,0
2017,HYDRO-PONDAGE,Himachal_Pradesh,100
2021,HYDRO-PONDAGE,Himachal_Pradesh,700
2023,HYDRO-PONDAGE,Himachal_Pradesh,200
2023,HYDRO-ROR,Himachal_Pradesh,36
2017,HYDRO-STORAGE,Himachal_Pradesh,201
2021,HYDRO-STORAGE,Himachal_Pradesh,809.6
2022,HYDRO-STORAGE,Himachal_Pradesh,215.3
2023,HYDRO-STORAGE,Himachal_Pradesh,60
2017,UPV,Himachal_Pradesh,170.99
2018,UPV,Himachal_Pradesh,170.79
2021,UPV,Himachal_Pradesh,341.58
2022,UPV,Himachal_Pradesh,170.79
2023,UPV,Himachal_Pradesh,170.79
2017,WIND,Himachal_Pradesh,0
2018,WIND,Himachal_Pradesh,0
2021,WIND,Himachal_Pradesh,0
2022,WIND,Himachal_Pradesh,0
2023,WIND,Himachal_Pradesh,0
2017,DISTPV,Jammu_Kashmir,78.1867
2018,DISTPV,Jammu_Kashmir,78.1867
2021,DISTPV,Jammu_Kashmir,156.3734
2022,DISTPV,Jammu_Kashmir,78.1867
2023,DISTPV,Jammu_Kashmir,78.1867
2018,HYDRO-ROR,Jammu_Kashmir,330
2021,HYDRO-ROR,Jammu_Kashmir,85.5
2021,HYDRO-STORAGE,Jammu_Kashmir,330
2017,UPV,Jammu_Kashmir,27.3233
2018,UPV,Jammu_Kashmir,26.3233
2021,UPV,Jammu_Kashmir,52.6466
2022,UPV,Jammu_Kashmir,26.3233
2023,UPV,Jammu_Kashmir,26.3233
2017,WIND,Jammu_Kashmir,0
2018,WIND,Jammu_Kashmir,0
2021,WIND,Jammu_Kashmir,0
2022,WIND,Jammu_Kashmir,0
2023,WIND,Jammu_Kashmir,0
2017,DISTPV,Jharkhand,136.8533
2018,DISTPV,Jharkhand,136.8533
2021,DISTPV,Jharkhand,273.7066
2022,DISTPV,Jharkhand,136.8533
2023,DISTPV,Jharkhand,136.8533
2017,UPV,Jharkhand,21.6483
2018,UPV,Jharkhand,5.4583
2021,UPV,Jharkhand,10.9166
2022,UPV,Jharkhand,5.4583
2023,UPV,Jharkhand,5.4583
2017,WIND,Jharkhand,0
2018,WIND,Jharkhand,0
2021,WIND,Jharkhand,0
2022,WIND,Jharkhand,0
2023,WIND,Jharkhand,0
2017,DISTPV,Karnataka,297.16
2018,DISTPV,Karnataka,104.91
2021,DISTPV,Karnataka,853.12
2022,DISTPV,Karnataka,398.74
2023,DISTPV,Karnataka,394.73
2017,UPV,Karnataka,2499
2018,UPV,Karnataka,2744.055
2019,UPV,Karnataka,1803.1
2020,UPV,Karnataka,20
2021,UPV,Karnataka,0
2022,UPV,Karnataka,952.4
2023,UPV,Karnataka,952.4
2017,WIND,Karnataka,4264.735
2018,WIND,Karnataka,817.3
2019,WIND,Karnataka,72.1
2020,WIND,Karnataka,4.2
2021,WIND,Karnataka,0
2022,WIND,Karnataka,591.9
2023,WIND,Karnataka,591.9
2017,DISTPV,Kerala,136.8533
2018,DISTPV,Kerala,136.8533
2021,DISTPV,Kerala,273.7066
2022,DISTPV,Kerala,136.8533
2023,DISTPV,Kerala,136.8533
2021,HYDRO-STORAGE,Kerala,40
2022,HYDRO-STORAGE,Kerala,60
2017,UPV,Kerala,52.6983
2018,UPV,Kerala,39.6483
2021,UPV,Kerala,79.2966
2022,UPV,Kerala,39.6483
2023,UPV,Kerala,39.6483
2017,WIND,Kerala,36.25
2018,WIND,Kerala,0
2021,WIND,Kerala,0
2022,WIND,Kerala,0
2023,WIND,Kerala,0
2017,DISTPV,Madhya_Pradesh,369.6867
2018,DISTPV,Madhya_Pradesh,369.6867
2021,DISTPV,Madhya_Pradesh,739.3734
2022,DISTPV,Madhya_Pradesh,369.6867
2023,DISTPV,Madhya_Pradesh,369.6867
2022,HYDRO-PONDAGE,Madhya_Pradesh,400
2017,UPV,Madhya_Pradesh,1218.1317
2018,UPV,Madhya_Pradesh,441.7617
2021,UPV,Madhya_Pradesh,883.5234
2022,UPV,Madhya_Pradesh,441.7617
2023,UPV,Madhya_Pradesh,441.7617
2017,WIND,Madhya_Pradesh,1267.75
2018,WIND,Madhya_Pradesh,677.65
2021,WIND,Madhya_Pradesh,1355.3
2022,WIND,Madhya_Pradesh,677.65
2023,WIND,Madhya_Pradesh,677.65
2017,DISTPV,Maharashtra,785.1867
2018,DISTPV,Maharashtra,785.1867
2021,DISTPV,Maharashtra,1570.3734
2022,DISTPV,Maharashtra,785.1867
2023,DISTPV,Maharashtra,785.1867
2021,HYDRO-PUMPED,Maharashtra,80
2017,UPV,Maharashtra,684.4567
2018,UPV,Maharashtra,298.6967
2021,UPV,Maharashtra,597.3934
2022,UPV,Maharashtra,298.6967
2023,UPV,Maharashtra,298.6967
2017,WIND,Maharashtra,5143.2917
2018,WIND,Maharashtra,3997.61
2021,WIND,Maharashtra,0
2022,WIND,Maharashtra,0
2023,WIND,Maharashtra,0
2017,DISTPV,Manipur,11.6867
2018,DISTPV,Manipur,11.6867
2021,DISTPV,Manipur,23.3734
2022,DISTPV,Manipur,11.6867
2023,DISTPV,Manipur,11.6867
2017,UPV,Manipur,0
2018,UPV,Manipur,0
2021,UPV,Manipur,0
2022,UPV,Manipur,0
2023,UPV,Manipur,0
2017,WIND,Manipur,0
2018,WIND,Manipur,0
2021,WIND,Manipur,0
2022,WIND,Manipur,0
2023,WIND,Manipur,0
2017,DISTPV,Meghalaya,0
2018,DISTPV,Meghalaya,0
2021,DISTPV,Meghalaya,0
2022,DISTPV,Meghalaya,0
2023,DISTPV,Meghalaya,0
2017,HYDRO-PONDAGE,Meghalaya,20
2017,HYDRO-ROR,Meghalaya,11.2
2021,HYDRO-ROR,Meghalaya,40
2017,UPV,Meghalaya,20.6767
2018,UPV,Meghalaya,20.6767
2021,UPV,Meghalaya,41.3534
2022,UPV,Meghalaya,20.6767
2023,UPV,Meghalaya,20.6767
2017,WIND,Meghalaya,0
2018,WIND,Meghalaya,0
2021,WIND,Meghalaya,0
2022,WIND,Meghalaya,0
2023,WIND,Meghalaya,0
2017,DISTPV,Mizoram,11.9367
2018,DISTPV,Mizoram,11.8367
2021,DISTPV,Mizoram,23.6734
2022,DISTPV,Mizoram,11.8367
2023,DISTPV,Mizoram,11.8367
2017,HYDRO-ROR,Mizoram,40
2022,HYDRO-STORAGE,Mizoram,60
2017,UPV,Mizoram,0
2018,UPV,Mizoram,0
2021,UPV,Mizoram,0
2022,UPV,Mizoram,0
2023,UPV,Mizoram,0
2017,WIND,Mizoram,0
2018,WIND,Mizoram,0
2021,WIND,Mizoram,0
2022,WIND,Mizoram,0
2023,WIND,Mizoram,0
2017,DISTPV,Nagaland,0
2018,DISTPV,Nagaland,0
2021,DISTPV,Nagaland,0
2022,DISTPV,Nagaland,0
2023,DISTPV,Nagaland,0
2017,UPV,Nagaland,29.8433
2018,UPV,Nagaland,29.8433
2021,UPV,Nagaland,59.6866
2022,UPV,Nagaland,29.8433
2023,UPV,Nagaland,29.8433
2017,WIND,Nagaland,0
2018,WIND,Nagaland,0
2021,WIND,Nagaland,0
2022,WIND,Nagaland,0
2023,WIND,Nagaland,0
2017,DISTPV,Odisha,170.02
2018,DISTPV,Odisha,170.02
2021,DISTPV,Odisha,340.04
2022,DISTPV,Odisha,170.02
2023,DISTPV,Odisha,170.02
2017,UPV,Odisha,227.9233
2018,UPV,Odisha,161.0033
2021,UPV,Odisha,322.0066
2022,UPV,Odisha,161.0033
2023,UPV,Odisha,161.0033
2017,WIND,Odisha,52.1667
2018,WIND,Odisha,52.1667
2021,WIND,Odisha,104.3334
2022,WIND,Odisha,52.1667
2023,WIND,Odisha,52.1667
2017,DISTPV,Puducherry,20.4367
2018,DISTPV,Puducherry,20.1367
2021,DISTPV,Puducherry,40.2734
