t,i,r,rs,value
2023,OFSWIND,Tamil_Nadu,103,0
2024,OFSWIND,Tamil_Nadu,103,0
2025,OFSWIND,Tamil_Nadu,103,0
2026,OFSWIND,Tamil_Nadu,103,0
2027,OFSWIND,Tamil_Nadu,103,0
2028,OFSWIND,Tamil_Nadu,103,500
2029,OFSWIND,Tamil_Nadu,103,1500
2030,OFSWIND,Tamil_Nadu,103,1500
2031,OFSWIND,Tamil_Nadu,103,1500
2032,OFSWIND,Tamil_Nadu,103,1500
2033,OFSWIND,Tamil_Nadu,103,1500
2034,OFSWIND,Tamil_Nadu,103,1500
2035,OFSWIND,Tamil_Nadu,103,1500
2036,OFSWIND,Tamil_Nadu,102,1500
2037,OFSWIND,Tamil_Nadu,102,1500
2038,OFSWIND,Tamil_Nadu,102,1500
2039,OFSWIND,Tamil_Nadu,102,1500
2040,OFSWIND,Tamil_Nadu,102,1500
2041,OFSWIND,Tamil_Nadu,103,1500
2042,OFSWIND,Tamil_Nadu,103,1500
2043,OFSWIND,Tamil_Nadu,103,1500
2023,OFSWIND,Gujarat,25,0
2024,OFSWIND,Gujarat,25,0
2025,OFSWIND,Gujarat,25,0
2026,OFSWIND,Gujarat,25,0
2027,OFSWIND,Gujarat,25,0
2028,OFSWIND,Gujarat,25,500
2029,OFSWIND,Gujarat,25,1500
2030,OFSWIND,Gujarat,25,1500
2031,OFSWIND,Gujarat,25,1500
2032,OFSWIND,Gujarat,25,1500
2033,OFSWIND,Gujarat,27,1500
2034,OFSWIND,Gujarat,27,1500
2035,OFSWIND,Gujarat,19,1500
2036,OFSWIND,Gujarat,19,1500
2037,OFSWIND,Gujarat,19,1500
2038,OFSWIND,Gujarat,25,1500
2039,OFSWIND,Gujarat,25,1500
2040,OFSWIND,Gujarat,25,1500
2041,OFSWIND,Gujarat,25,1500
2042,OFSWIND,Gujarat,25,1500
2043,OFSWIND,Gujarat,27,1500
2023,ONSWIND,Andhra_Pradesh,sk,0
2023,ONSWIND,Maharashtra,sk,165.3783
2023,ONSWIND,Rajasthan,sk,589.6
2023,ONSWIND,Karnataka,sk,989.235
2023,ONSWIND,Arunachal_Pradesh,sk,0
2023,ONSWIND,Assam,sk,0
2023,ONSWIND,Bihar,sk,0
2023,ONSWIND,Chandigarh,sk,0
2023,ONSWIND,Chhattisgarh,sk,0
2023,ONSWIND,Gujarat,sk,2501.5638
2023,ONSWIND,Daman_Diu,sk,0
2023,ONSWIND,Delhi,sk,0
2023,ONSWIND,Goa,sk,0
2023,ONSWIND,Haryana,sk,0
2023,ONSWIND,Himachal_Pradesh,sk,0
2023,ONSWIND,Jammu_Kashmir,sk,0
2023,ONSWIND,Jharkhand,sk,0
2023,ONSWIND,Kerala,sk,27.15
2023,ONSWIND,Madhya_Pradesh,sk,21.14
2023,ONSWIND,Manipur,sk,0
2023,ONSWIND,Meghalaya,sk,0
2023,ONSWIND,Mizoram,sk,0
2023,ONSWIND,Nagaland,sk,0
2023,ONSWIND,Odisha,sk,0
2023,ONSWIND,Puducherry,sk,0
2023,ONSWIND,Punjab,sk,0
2023,ONSWIND,Sikkim,sk,0
2023,ONSWIND,Tamil_Nadu,sk,1280.6965
2023,ONSWIND,Telangana,sk,41
2023,ONSWIND,Tripura,sk,0
2023,ONSWIND,Uttar_Pradesh,sk,0
2023,ONSWIND,Uttarakhand,sk,0
2023,ONSWIND,West_Bengal,sk,0
2023,ONSWIND,Dadra_Nagar_Haveli,sk,0
2023,DISTPV,Andhra_Pradesh,4,20.05
2024,DISTPV,Andhra_Pradesh,4,28.94
2025,DISTPV,Andhra_Pradesh,3,92.68
2026,DISTPV,Andhra_Pradesh,12,547.9735222
2027,DISTPV,Andhra_Pradesh,2,361.1351488
2028,DISTPV,Andhra_Pradesh,11,409.8822006
2029,DISTPV,Andhra_Pradesh,12,463.4473706
2030,DISTPV,Andhra_Pradesh,15,542.851735
2031,DISTPV,Andhra_Pradesh,9,152.5134273
2032,DISTPV,Andhra_Pradesh,2,152.809522
2033,DISTPV,Andhra_Pradesh,10,178.4069058
2034,DISTPV,Andhra_Pradesh,7,178.4069058
2035,DISTPV,Andhra_Pradesh,1,178.4069058
2036,DISTPV,Andhra_Pradesh,1,178.4069058
2037,DISTPV,Andhra_Pradesh,2,178.4069058
2038,DISTPV,Andhra_Pradesh,4,180.3463259
2039,DISTPV,Andhra_Pradesh,4,180.3463259
2040,DISTPV,Andhra_Pradesh,9,541.0389777
2023,DISTPV,Arunachal_Pradesh,144,0.41
2024,DISTPV,Arunachal_Pradesh,144,0.15
2025,DISTPV,Arunachal_Pradesh,144,3.06
2026,DISTPV,Arunachal_Pradesh,144,3.06
2027,DISTPV,Arunachal_Pradesh,144,3.06
2028,DISTPV,Arunachal_Pradesh,144,0.733333333
2029,DISTPV,Arunachal_Pradesh,144,1.454373068
2030,DISTPV,Arunachal_Pradesh,144,5.288234455
2031,DISTPV,Arunachal_Pradesh,144,1.889404926
2032,DISTPV,Arunachal_Pradesh,144,1.731954516
2033,DISTPV,Arunachal_Pradesh,144,2.771127225
2034,DISTPV,Arunachal_Pradesh,144,2.771127225
2035,DISTPV,Arunachal_Pradesh,144,2.771127225
2036,DISTPV,Arunachal_Pradesh,144,2.771127225
2037,DISTPV,Arunachal_Pradesh,144,2.771127225
