"t","i","r","c","wVC","cap"
2017,"CCGT-GAS","Andhra_Pradesh","init-1",824.94,230
2017,"CCGT-GAS","Andhra_Pradesh","init-2",1162.03,251
2017,"CCGT-GAS","Andhra_Pradesh","init-3",1735.30260720412,583
2017,"CCGT-GAS","Andhra_Pradesh","init-4",5122.03,3850.4
2025,"SUBCRITICAL-COAL","Andhra_Pradesh","init-3",2274.09733990148,2030
2050,"CCGT-GAS","Andhra_Pradesh","init-4",5122.03,3850.4
2049,"CCGT-GAS","Andhra_Pradesh","init-1",824.94,230
2023,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
2049,"CCGT-GAS","Andhra_Pradesh","init-3",1735.30260720412,583
2049,"CCGT-GAS","Andhra_Pradesh","init-4",5122.03,3850.4
2024,"SUBCRITICAL-COAL","Andhra_Pradesh","init-3",2274.09733990148,2030
2034,"CCGT-GAS","Andhra_Pradesh","init-2",1162.03,251
2023,"SUBCRITICAL-COAL","Andhra_Pradesh","init-1",1320.3,1050
2023,"SUBCRITICAL-COAL","Andhra_Pradesh","init-2",1912.84,2000
2023,"SUBCRITICAL-COAL","Andhra_Pradesh","init-3",2274.09733990148,2030
2040,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
2036,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
2022,"SUBCRITICAL-COAL","Andhra_Pradesh","init-1",1320.3,1050
2022,"SUBCRITICAL-COAL","Andhra_Pradesh","init-2",1912.84,2000
2022,"SUBCRITICAL-COAL","Andhra_Pradesh","init-3",2274.09733990148,2030
2020,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
2033,"CCGT-GAS","Andhra_Pradesh","init-1",824.94,230
2033,"CCGT-GAS","Andhra_Pradesh","init-2",1162.03,251
2033,"CCGT-GAS","Andhra_Pradesh","init-3",1735.30260720412,583
2033,"CCGT-GAS","Andhra_Pradesh","init-4",5122.03,3850.4
2020,"SUBCRITICAL-COAL","Andhra_Pradesh","init-1",1320.3,1050
2020,"SUBCRITICAL-COAL","Andhra_Pradesh","init-2",1912.84,2000
2020,"SUBCRITICAL-COAL","Andhra_Pradesh","init-3",2274.09733990148,2030
2039,"CCGT-GAS","Andhra_Pradesh","init-1",824.94,230
2018,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
2043,"CCGT-GAS","Andhra_Pradesh","init-1",824.94,230
2043,"CCGT-GAS","Andhra_Pradesh","init-2",1162.03,251
2043,"CCGT-GAS","Andhra_Pradesh","init-3",1735.30260720412,583
2017,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
2018,"SUBCRITICAL-COAL","Andhra_Pradesh","init-1",1320.3,1050
2018,"SUBCRITICAL-COAL","Andhra_Pradesh","init-2",1912.84,2000
2029,"SUPERCRITICAL-COAL","Andhra_Pradesh","init-7",1810.51,3580
2049,"DIESEL","Andhra_Pradesh","init-7",2408.04,36.8
