t,i,r,value
2023,SUPERCRITICAL-COAL,Andhra_Pradesh,470
2029,SUPERCRITICAL-COAL,Andhra_Pradesh,690
2030,SUPERCRITICAL-COAL,Andhra_Pradesh,1250
2032,SUPERCRITICAL-COAL,Andhra_Pradesh,2716
2035,SUPERCRITICAL-COAL,Andhra_Pradesh,1176
2027,SUPERCRITICAL-COAL,Assam,690
2034,SUPERCRITICAL-COAL,Assam,1176
2023,SUPERCRITICAL-COAL,Bihar,2780
2029,SUPERCRITICAL-COAL,Bihar,690
2033,SUPERCRITICAL-COAL,Bihar,1932
2034,SUPERCRITICAL-COAL,Bihar,5040
2028,SUPERCRITICAL-COAL,Chhattisgarh,1250
2030,SUPERCRITICAL-COAL,Chhattisgarh,1250
2032,SUPERCRITICAL-COAL,Chhattisgarh,2716
2034,SUPERCRITICAL-COAL,Chhattisgarh,1932
2035,SUPERCRITICAL-COAL,Chhattisgarh,1176
2026,SUPERCRITICAL-COAL,Gujarat,2470
2029,SUPERCRITICAL-COAL,Gujarat,970
2022,SUPERCRITICAL-COAL,Jharkhand,320
2023,SUPERCRITICAL-COAL,Jharkhand,2250
2024,SUPERCRITICAL-COAL,Jharkhand,320
2028,SUPERCRITICAL-COAL,Jharkhand,970
2029,SUPERCRITICAL-COAL,Jharkhand,690
2031,SUPERCRITICAL-COAL,Jharkhand,3500
2035,SUPERCRITICAL-COAL,Jharkhand,1176
2026,SUPERCRITICAL-COAL,Karnataka,1800
2030,SUPERCRITICAL-COAL,Karnataka,1140
2032,SUPERCRITICAL-COAL,Karnataka,1176
2034,SUPERCRITICAL-COAL,Karnataka,2716
2028,SUPERCRITICAL-COAL,Madhya_Pradesh,1420
2031,SUPERCRITICAL-COAL,Madhya_Pradesh,3500
2033,SUPERCRITICAL-COAL,Madhya_Pradesh,1932
2035,SUPERCRITICAL-COAL,Madhya_Pradesh,1176
2025,SUPERCRITICAL-COAL,Maharashtra,2170
2027,SUPERCRITICAL-COAL,Maharashtra,2360
2031,SUPERCRITICAL-COAL,Maharashtra,1932
2035,SUPERCRITICAL-COAL,Maharashtra,1176
2023,SUPERCRITICAL-COAL,Odisha,320
2027,SUPERCRITICAL-COAL,Odisha,140
2032,SUPERCRITICAL-COAL,Odisha,1176
2035,SUPERCRITICAL-COAL,Odisha,2716
2021,SUPERCRITICAL-COAL,Tamil_Nadu,320
2022,SUPERCRITICAL-COAL,Tamil_Nadu,320
2025,SUPERCRITICAL-COAL,Tamil_Nadu,320
2026,SUPERCRITICAL-COAL,Tamil_Nadu,2540
2032,SUPERCRITICAL-COAL,Tamil_Nadu,392
2033,SUPERCRITICAL-COAL,Tamil_Nadu,1932
2022,SUPERCRITICAL-COAL,Telangana,470
2023,SUPERCRITICAL-COAL,Telangana,1800
2024,SUPERCRITICAL-COAL,Telangana,470
2025,SUPERCRITICAL-COAL,Telangana,1800
2032,SUPERCRITICAL-COAL,Telangana,392
2033,SUPERCRITICAL-COAL,Telangana,1932
2022,SUPERCRITICAL-COAL,Uttar_Pradesh,2150
2023,SUPERCRITICAL-COAL,Uttar_Pradesh,680
2024,SUPERCRITICAL-COAL,Uttar_Pradesh,2150
2025,SUPERCRITICAL-COAL,Uttar_Pradesh,680
2026,SUPERCRITICAL-COAL,Uttar_Pradesh,4580
2031,SUPERCRITICAL-COAL,Uttar_Pradesh,1932
2033,SUPERCRITICAL-COAL,Uttar_Pradesh,1932
2023,SUPERCRITICAL-COAL,West_Bengal,370
2025,SUPERCRITICAL-COAL,West_Bengal,370
2026,NUCLEAR,Andhra_Pradesh,1208
2026,NUCLEAR,Gujarat,1067
2026,NUCLEAR,Haryana,466
2026,NUCLEAR,Karnataka,234
2026,NUCLEAR,Madhya_Pradesh,1803
2026,NUCLEAR,Maharashtra,1650
2026,NUCLEAR,Rajasthan,716
2026,NUCLEAR,Tamil_Nadu,984
2026,NUCLEAR,West_Bengal,1204
2027,NUCLEAR,Andhra_Pradesh,1208
2027,NUCLEAR,Gujarat,1233
2027,NUCLEAR,Haryana,467
2027,NUCLEAR,Karnataka,233
2027,NUCLEAR,Maharashtra,1650
2027,NUCLEAR,Rajasthan,717
2027,NUCLEAR,Tamil_Nadu,983
2027,NUCLEAR,West_Bengal,959
2028,NUCLEAR,Andhra_Pradesh,1208
2028,NUCLEAR,Gujarat,1233
2028,NUCLEAR,Haryana,467
2028,NUCLEAR,Karnataka,233
2028,NUCLEAR,Maharashtra,1650
2028,NUCLEAR,Rajasthan,717
2028,NUCLEAR,Tamil_Nadu,983
2028,NUCLEAR,West_Bengal,959
2029,NUCLEAR,Andhra_Pradesh,1208
2029,NUCLEAR,Gujarat,1234
2029,NUCLEAR,Haryana,466
2029,NUCLEAR,Karnataka,234
2029,NUCLEAR,Maharashtra,1650
2029,NUCLEAR,Rajasthan,716
2029,NUCLEAR,Tamil_Nadu,984
2029,NUCLEAR,West_Bengal,960
2030,NUCLEAR,Andhra_Pradesh,1208
2030,NUCLEAR,Gujarat,1233
2030,NUCLEAR,Haryana,467
2030,NUCLEAR,Karnataka,233
2030,NUCLEAR,Maharashtra,1650
2030,NUCLEAR,Rajasthan,717
2030,NUCLEAR,Tamil_Nadu,983
2030,NUCLEAR,West_Bengal,959
