t,i,r,rs,value
2017,UPV,Andhra_Pradesh,4,30
2017,UPV,Andhra_Pradesh,6,39
2017,UPV,Andhra_Pradesh,7,871
2017,UPV,Andhra_Pradesh,10,380
2017,UPV,Andhra_Pradesh,11,280
2017,UPV,Andhra_Pradesh,14,85
2017,UPV,Maharashtra,60,200
2017,UPV,Maharashtra,64,30
2017,UPV,Maharashtra,70,136
2017,UPV,Rajasthan,83,323
2017,UPV,Rajasthan,84,1532.9
2017,UPV,Rajasthan,86,7.6
2017,UPV,Rajasthan,89,46
2017,UPV,Rajasthan,90,21.8
2017,ONSWIND,Andhra_Pradesh,10,1473.69
2017,ONSWIND,Andhra_Pradesh,11,84.4
2017,ONSWIND,Andhra_Pradesh,14,55.57
2017,ONSWIND,Andhra_Pradesh,sk,931.0483
2017,DISTPV,Andhra_Pradesh,sk,336.52
2017,UPV,Andhra_Pradesh,sk,100
2017,UPV,Arunachal_Pradesh,sk,3.715
2017,DISTPV,Chandigarh,sk,9.165
2017,UPV,Chhattisgarh,sk,171.14
2017,ONSWIND,Gujarat,sk,1274.808
2017,UPV,Daman_Diu,sk,6.8233
2017,ONSWIND,Gujarat,19,1036.15
2017,ONSWIND,Gujarat,20,821.375
2017,ONSWIND,Gujarat,23,1312.585
2017,ONSWIND,Gujarat,24,387.665
2017,DISTPV,Goa,sk,28.52
2017,DISTPV,Gujarat,sk,536.1867
2017,UPV,Gujarat,sk,1701.528
2017,DISTPV,Haryana,sk,286.3533
2017,UPV,Haryana,sk,79.9817
2017,UPV,Jammu_Kashmir,sk,27.3233
2017,ONSWIND,Karnataka,sk,930.255
2017,ONSWIND,Karnataka,31,94.1
2017,UPV,Jharkhand,sk,21.6483
2017,ONSWIND,Kerala,sk,36.25
2017,ONSWIND,Madhya_Pradesh,49,118.35
2017,ONSWIND,Madhya_Pradesh,50,73.7
2017,UPV,Karnataka,sk,616.3733
2017,ONSWIND,Madhya_Pradesh,sk,1075.7
2017,UPV,Kerala,sk,52.6983
2017,UPV,Madhya_Pradesh,sk,618.1317
2017,ONSWIND,Maharashtra,sk,1053.2917
2017,UPV,Maharashtra,sk,318.4567
2017,DISTPV,Manipur,sk,11.6867
2017,DISTPV,Mizoram,sk,11.9367
2017,UPV,Nagaland,sk,29.8433
2017,DISTPV,Puducherry,sk,20.4367
2017,ONSWIND,Rajasthan,83,3464.32
2017,DISTPV,Punjab,sk,499.2367
2017,UPV,Punjab,sk,213.49
2017,ONSWIND,Rajasthan,84,416
2017,ONSWIND,Rajasthan,85,7.2
2017,ONSWIND,Rajasthan,90,2.925
2017,ONSWIND,Rajasthan,93,348
2017,DISTPV,Rajasthan,sk,386.02
2017,ONSWIND,Tamil_Nadu,99,2945.5
2017,ONSWIND,Tamil_Nadu,101,4908.9
2017,UPV,Tamil_Nadu,sk,376.84
2017,ONSWIND,Tamil_Nadu,102,2.9
2017,ONSWIND,Tamil_Nadu,sk,469.4167
2017,DISTPV,Telangana,sk,336.52
2017,UPV,Telangana,sk,1102.8567
2017,ONSWIND,Telangana,111,87
2017,DISTPV,Tripura,sk,11.6867
2017,UPV,Tripura,sk,14.49
2017,UPV,Uttar_Pradesh,sk,262.9067
