allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2017,WIND,85511139.0,2515034.0,0.0,0.0
2018,WIND,85511139.0,2515034.0,0.0,0.0
2019,WIND,85511139.0,2515034.0,0.0,0.0
2020,WIND,85511139.0,2515034.0,0.0,0.0
2021,WIND,81054266.0,2464616.0,0.0,0.0
2022,WIND,76597392.0,2414198.0,0.0,0.0
2023,WIND,72140519.0,2363781.0,0.0,0.0
2024,WIND,67683646.0,2313363.0,0.0,0.0
2025,WIND,63226772.0,2262945.0,0.0,0.0
2026,WIND,58769899.0,2212528.0,0.0,0.0
2027,WIND,54313026.0,2162110.0,0.0,0.0
2028,WIND,49856153.0,2111692.0,0.0,0.0
2029,WIND,45399279.0,2061275.0,0.0,0.0
2030,WIND,40942406.0,2010857.0,0.0,0.0
2031,WIND,40430626.0,1980694.0,0.0,0.0
2032,WIND,39918846.0,1950531.0,0.0,0.0
2033,WIND,39407066.0,1920368.0,0.0,0.0
2034,WIND,38895286.0,1890206.0,0.0,0.0
2035,WIND,38383505.0,1860043.0,0.0,0.0
2036,WIND,37871725.0,1829880.0,0.0,0.0
2037,WIND,37359945.0,1799717.0,0.0,0.0
2038,WIND,36848165.0,1769554.0,0.0,0.0
2039,WIND,36336385.0,1739391.0,0.0,0.0
2040,WIND,35824605.0,1709228.0,0.0,0.0
2041,WIND,35312825.0,1679066.0,0.0,0.0
2042,WIND,34801045.0,1648903.0,0.0,0.0
2043,WIND,34289265.0,1618740.0,0.0,0.0
2044,WIND,33777485.0,1588577.0,0.0,0.0
2045,WIND,33265705.0,1558414.0,0.0,0.0
2046,WIND,32753925.0,1528251.0,0.0,0.0
2047,WIND,32242145.0,1498088.0,0.0,0.0
2048,WIND,31730365.0,1467926.0,0.0,0.0
2049,WIND,31218584.0,1437763.0,0.0,0.0
2050,WIND,30706804.0,1407600.0,0.0,0.0
2017,UPV,77985016.0,1323240.0,0.0,0.0
2018,UPV,77985016.0,1323240.0,0.0,0.0
2019,UPV,77985016.0,1323240.0,0.0,0.0
2020,UPV,77985016.0,1323240.0,0.0,0.0
2021,UPV,68193373.0,1202350.0,0.0,0.0
2022,UPV,64630066.0,1153160.0,0.0,0.0
2023,UPV,61066758.0,1104731.0,0.0,0.0
2024,UPV,57503450.0,1056691.0,0.0,0.0
2025,UPV,53940143.0,1009009.0,0.0,0.0
2026,UPV,50376835.0,961658.0,0.0,0.0
2027,UPV,46813527.0,914614.0,0.0,0.0
2028,UPV,43250219.0,867856.0,0.0,0.0
2029,UPV,39686912.0,821363.0,0.0,0.0
2030,UPV,36123604.0,775117.0,0.0,0.0
2031,UPV,35679323.0,767777.0,0.0,0.0
2032,UPV,35235042.0,760479.0,0.0,0.0
2033,UPV,34790761.0,753225.0,0.0,0.0
2034,UPV,34346479.0,746011.0,0.0,0.0
2035,UPV,33902198.0,738837.0,0.0,0.0
2036,UPV,33457917.0,731702.0,0.0,0.0
2037,UPV,33013636.0,724605.0,0.0,0.0
2038,UPV,32569355.0,717544.0,0.0,0.0
2039,UPV,32125074.0,710520.0,0.0,0.0
2040,UPV,31680793.0,703529.0,0.0,0.0
2041,UPV,31236512.0,696573.0,0.0,0.0
2042,UPV,30792231.0,689650.0,0.0,0.0
2043,UPV,30347949.0,682758.0,0.0,0.0
2044,UPV,29903668.0,675898.0,0.0,0.0
2045,UPV,29459387.0,669068.0,0.0,0.0
2046,UPV,29015106.0,662267.0,0.0,0.0
2047,UPV,28570825.0,655495.0,0.0,0.0
2048,UPV,28126544.0,648752.0,0.0,0.0
2049,UPV,27682263.0,642035.0,0.0,0.0
2050,UPV,27237982.0,635346.0,0.0,0.0
2017,DISTPV,104323882.0,1098319.0,0.0,0.0
2018,DISTPV,104323882.0,1098319.0,0.0,0.0
2019,DISTPV,104323882.0,1098319.0,0.0,0.0
2020,DISTPV,104323882.0,1098319.0,0.0,0.0
2021,DISTPV,93469658.0,1048126.0,0.0,0.0
2022,DISTPV,87691402.0,994129.0,0.0,0.0
2023,DISTPV,81913145.0,940133.0,0.0,0.0
2024,DISTPV,76134889.0,886136.0,0.0,0.0
2025,DISTPV,70356632.0,832139.0,0.0,0.0
2026,DISTPV,64578376.0,778143.0,0.0,0.0
2027,DISTPV,58800120.0,724146.0,0.0,0.0
2028,DISTPV,53021863.0,670149.0,0.0,0.0
2029,DISTPV,47243607.0,616152.0,0.0,0.0
2030,DISTPV,41465350.0,562156.0,0.0,0.0
2031,DISTPV,40930918.0,557162.0,0.0,0.0
2032,DISTPV,40396487.0,552167.0,0.0,0.0
2033,DISTPV,39862055.0,547173.0,0.0,0.0
2034,DISTPV,39327624.0,542179.0,0.0,0.0
2035,DISTPV,38793192.0,537185.0,0.0,0.0
2036,DISTPV,38258761.0,532191.0,0.0,0.0
2037,DISTPV,37724329.0,527197.0,0.0,0.0
2038,DISTPV,37189897.0,522202.0,0.0,0.0
2039,DISTPV,36655466.0,517208.0,0.0,0.0
2040,DISTPV,36121034.0,512214.0,0.0,0.0
2041,DISTPV,35586603.0,507220.0,0.0,0.0
2042,DISTPV,35052171.0,502226.0,0.0,0.0
