t,i,r,rs,value
2017,ONSWIND,Andhra_Pradesh,10,1473.69
2017,ONSWIND,Andhra_Pradesh,11,84.4
2017,ONSWIND,Andhra_Pradesh,14,55.57
2021,ONSWIND,Andhra_Pradesh,sk,1113.2583
2017,ONSWIND,Andhra_Pradesh,sk,931.0483
2018,ONSWIND,Andhra_Pradesh,sk,439.2583
2021,ONSWIND,Gujarat,sk,1590.1666
2017,ONSWIND,Gujarat,sk,1274.808
2018,ONSWIND,Gujarat,sk,795.0833
2022,ONSWIND,Gujarat,sk,2595.0833
2017,ONSWIND,Gujarat,19,1036.15
2017,ONSWIND,Gujarat,20,821.375
2017,ONSWIND,Gujarat,23,1312.585
2017,ONSWIND,Gujarat,24,387.665
2021,ONSWIND,Karnataka,34,1874.16
2021,ONSWIND,Karnataka,31,571.0
2021,ONSWIND,Karnataka,35,342.65
2021,ONSWIND,Karnataka,sk,807.61
2021,ONSWIND,Karnataka,36,165.5
2021,ONSWIND,Karnataka,32,92.9
2017,ONSWIND,Karnataka,sk,930.255
2018,ONSWIND,Karnataka,sk,354.975
2022,ONSWIND,Karnataka,sk,501.975
2017,ONSWIND,Karnataka,31,94.1
2017,ONSWIND,Kerala,sk,36.25
2017,ONSWIND,Madhya_Pradesh,49,118.35
2017,ONSWIND,Madhya_Pradesh,50,73.7
2021,ONSWIND,Madhya_Pradesh,sk,1355.3
2017,ONSWIND,Madhya_Pradesh,sk,1075.7
2018,ONSWIND,Madhya_Pradesh,sk,200.0
2018,ONSWIND,Maharashtra,59,547.9
2018,ONSWIND,Maharashtra,64,29.7
2018,ONSWIND,Maharashtra,65,319.7
2018,ONSWIND,Maharashtra,69,1419.71
2018,ONSWIND,Maharashtra,70,522.4
2018,ONSWIND,Maharashtra,74,80.1
2018,ONSWIND,Maharashtra,75,1078.1
2017,ONSWIND,Maharashtra,sk,1053.2917
2017,ONSWIND,Rajasthan,83,3464.32
2017,ONSWIND,Rajasthan,84,416.0
2017,ONSWIND,Rajasthan,85,7.2
2017,ONSWIND,Rajasthan,90,2.925
2017,ONSWIND,Rajasthan,93,348.0
2018,ONSWIND,Rajasthan,sk,367.675
2017,ONSWIND,Tamil_Nadu,99,2945.5
2017,ONSWIND,Tamil_Nadu,101,4908.9
2017,ONSWIND,Tamil_Nadu,102,2.9
2021,ONSWIND,Tamil_Nadu,sk,95.7134
2022,ONSWIND,Tamil_Nadu,sk,712.8567
2017,ONSWIND,Tamil_Nadu,sk,469.4167
2018,ONSWIND,Tamil_Nadu,sk,712.8567
2017,ONSWIND,Telangana,111,87.0
2022,ONSWIND,Andhra_Pradesh,sk,0.1
2022,ONSWIND,Assam,sk,0.1
2022,ONSWIND,Bihar,sk,0.1
2022,ONSWIND,Chandigarh,sk,0.1
2022,ONSWIND,Chhattisgarh,sk,0.1
2022,ONSWIND,Dadra_Nagar_Haveli,sk,0.1
2022,ONSWIND,Daman_Diu,sk,0.1
2022,ONSWIND,Delhi,sk,0.1
2022,ONSWIND,Goa,sk,0.1
2022,ONSWIND,Haryana,sk,0.1
2022,ONSWIND,Himachal_Pradesh,sk,0.1
2022,ONSWIND,Jharkhand,sk,0.1
2022,ONSWIND,Kerala,sk,0.1
2022,ONSWIND,Madhya_Pradesh,sk,0.1
2022,ONSWIND,Maharashtra,sk,0.1
2022,ONSWIND,Meghalaya,sk,0.1
2022,ONSWIND,Mizoram,sk,0.1
2022,ONSWIND,Odisha,sk,0.1
2022,ONSWIND,Puducherry,sk,0.1
2022,ONSWIND,Punjab,sk,0.1
2022,ONSWIND,Rajasthan,sk,0.1
2022,ONSWIND,Telangana,sk,0.1
2022,ONSWIND,Tripura,sk,0.1
2022,ONSWIND,Uttar_Pradesh,sk,0.1
2022,ONSWIND,Uttarakhand,sk,0.1
2022,ONSWIND,West_Bengal,sk,0.1
2023,ONSWIND,Andhra_Pradesh,sk,0.0
2023,ONSWIND,Maharashtra,sk,165.3783
