t,i,r,c,wVC,cap
2017,SUBCRITICAL-COAL,Andhra_Pradesh,init-3,2274.09734,2030
2017,SUBCRITICAL-COAL,Andhra_Pradesh,init-2,1912.84,2000
2017,CCGT-GAS,Andhra_Pradesh,init-4,5122.03,3850.4
2017,DIESEL,Andhra_Pradesh,init-7,2408.04,36.8
2017,CCGT-GAS,Andhra_Pradesh,init-2,1162.03,251
2017,CCGT-GAS,Andhra_Pradesh,init-3,1735.302607,583
2017,SUPERCRITICAL-COAL,Andhra_Pradesh,init-7,1810.51,3580
2017,CCGT-GAS,Andhra_Pradesh,init-1,824.94,230
2017,SUBCRITICAL-COAL,Andhra_Pradesh,init-1,1320.3,1050
2017,CT-GAS,Assam,init-7,1488.980472,127
2017,SUBCRITICAL-COAL,Assam,init-7,2428.53,250
2017,CCGT-GAS,Assam,init-7,2658.144374,339.5
2017,SUBCRITICAL-COAL,Bihar,init-2,2024.34,1035
2017,SUPERCRITICAL-COAL,Bihar,init-7,3615.95,1920
2017,SUBCRITICAL-COAL,Bihar,init-1,1761.7,2000
2017,SUBCRITICAL-COAL,Chhattisgarh,init-3,806.85,2200
2017,SUBCRITICAL-COAL,Chhattisgarh,init-1,18.52,270
2017,SUPERCRITICAL-COAL,Chhattisgarh,init-2,781.795443,3950
2017,SUPERCRITICAL-COAL,Chhattisgarh,init-1,518.46,360
2017,SUBCRITICAL-COAL,Chhattisgarh,init-4,1454.324092,9748
2017,SUBCRITICAL-COAL,Chhattisgarh,init-2,493.71,2500
2017,CCGT-GAS,Delhi,init-1,582.03,282
2017,CCGT-GAS,Delhi,init-2,2619.296675,1955
2017,CCGT-GAS,Goa,init-7,2505.23,48
2017,SUBCRITICAL-LIGNITE,Gujarat,init-7,799.2940506,790
2017,CCGT-GAS,Gujarat,init-3,2542.02,160
2017,SUBCRITICAL-COAL,Gujarat,init-1,338.56,264
2017,SUBCRITICAL-COAL,Gujarat,init-4,2568.55,210
2017,CCGT-GAS,Gujarat,init-2,1824.077328,1048
2017,CCGT-GAS,Gujarat,init-4,2652.42724,2065
2017,SUBCRITICAL-COAL,Gujarat,init-3,2120.974111,1205.06
2017,CCGT-GAS,Gujarat,init-5,4482.975517,3190
2017,SUBCRITICAL-COAL,Gujarat,init-2,1292.14989,1820
2017,CCGT-GAS,Gujarat,init-1,828.0936468,521
2017,SUBCRITICAL-COAL,Gujarat,init-5,2811.087045,3960
2017,SUPERCRITICAL-COAL,Gujarat,init-7,905.4090685,7300
2017,SUBCRITICAL-COAL,Haryana,init-4,3487.770526,1710
2017,CCGT-GAS,Haryana,init-7,1381.97,372
2017,SUBCRITICAL-COAL,Haryana,init-3,2548.55,500
2017,SUBCRITICAL-COAL,Haryana,init-2,2369.95,1200
2017,SUBCRITICAL-COAL,Haryana,init-1,2098.55,600
2017,SUPERCRITICAL-COAL,Haryana,init-7,2510.03,1320
2017,CCGT-GAS,Jammu_Kashmir,init-7,13541.98,175
2017,SUBCRITICAL-COAL,Jharkhand,init-7,1354.55,780
2017,DIESEL,Karnataka,init-7,2408.04,153.12
2017,SUPERCRITICAL-COAL,Karnataka,init-7,1810.51,1600
2017,SUBCRITICAL-COAL,Karnataka,init-3,4911.95,700
2017,SUBCRITICAL-COAL,Karnataka,init-2,2060.91,1000
2017,SUBCRITICAL-COAL,Karnataka,init-4,5198.48,860
2017,SUBCRITICAL-COAL,Karnataka,init-1,1855.44,1200
2017,CCGT-GAS,Kerala,init-7,3657.635572,559.9
2017,DIESEL,Kerala,init-7,2408.04,159.96
2017,SUPERCRITICAL-COAL,Madhya_Pradesh,init-7,614.2475,5280
2017,SUBCRITICAL-COAL,Madhya_Pradesh,init-2,1006.900894,3690
2017,SUBCRITICAL-COAL,Madhya_Pradesh,init-3,1888.612186,4689.5
2017,SUBCRITICAL-COAL,Madhya_Pradesh,init-1,865.5849108,3364
2017,SUBCRITICAL-COAL,Maharashtra,init-5,2448.358059,3040
2017,CCGT-GAS,Maharashtra,init-2,2133.441268,568
2017,SUBCRITICAL-COAL,Maharashtra,init-7,3318.47,1180
2017,SUBCRITICAL-COAL,Maharashtra,init-3,1855.781804,3270
2017,SUBCRITICAL-COAL,Maharashtra,init-1,870.51,600
2017,CCGT-GAS,Maharashtra,init-1,1062.01,2639.08
2017,SUBCRITICAL-COAL,Maharashtra,init-2,1396.894545,2200
2017,SUBCRITICAL-COAL,Maharashtra,init-4,2111.711104,4620
2017,SUPERCRITICAL-COAL,Maharashtra,init-7,1673.327778,5940
2017,DIESEL,Manipur,init-7,2408.04,36
2017,SUBCRITICAL-COAL,Odisha,init-3,1480.632,2250
2017,SUBCRITICAL-COAL,Odisha,init-2,860.33,3000
2017,SUBCRITICAL-COAL,Odisha,init-4,2928.48,420
2017,SUBCRITICAL-COAL,Odisha,init-1,500.04,1200
2017,CCGT-GAS,Puducherry,init-7,4577.54,32.5
2017,SUPERCRITICAL-COAL,Punjab,init-7,1837.421598,3380
2017,SUBCRITICAL-COAL,Punjab,init-7,2607.54589,1460
2017,CCGT-GAS,Rajasthan,init-2,1697.026364,754.3
2017,SUBCRITICAL-COAL,Rajasthan,init-5,3008.49,1500
2017,SUBCRITICAL-COAL,Rajasthan,init-1,198.54,250
2017,SUBCRITICAL-COAL,Rajasthan,init-2,1018.630376,1330
