allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2017,WIND,85511139,2515034,0,0
2018,WIND,85511139,2515034,0,0
2019,WIND,85511139,2515034,0,0
2020,WIND,85511139,2515034,0,0
2021,WIND,82516495,2491345,0,0
2022,WIND,79521850,2467657,0,0
2023,WIND,76527205,2443969,0,0
2024,WIND,73532561,2420281,0,0
2025,WIND,70537916,2396593,0,0
2026,WIND,67543272,2372905,0,0
2027,WIND,64548627,2349217,0,0
2028,WIND,61553983,2325529,0,0
2029,WIND,58559338,2301841,0,0
2030,WIND,55564694,2278152,0,0
2031,WIND,55009047,2261066,0,0
2032,WIND,54453400,2243980,0,0
2033,WIND,53897753,2226894,0,0
2034,WIND,53342106,2209808,0,0
2035,WIND,52786459,2192722,0,0
2036,WIND,52230812,2175636,0,0
2037,WIND,51675165,2158549,0,0
2038,WIND,51119518,2141463,0,0
2039,WIND,50563871,2124377,0,0
2040,WIND,50008224,2107291,0,0
2041,WIND,49452577,2090205,0,0
2042,WIND,48896930,2073119,0,0
2043,WIND,48341283,2056033,0,0
2044,WIND,47785637,2038946,0,0
2045,WIND,47229990,2021860,0,0
2046,WIND,46674343,2004774,0,0
2047,WIND,46118696,1987688,0,0
2048,WIND,45563049,1970602,0,0
2049,WIND,45007402,1953516,0,0
2050,WIND,44451755,1936430,0,0
2017,UPV,77985016,1323240,0,0
2018,UPV,77985016,1323240,0,0
2019,UPV,77985016,1323240,0,0
2020,UPV,77985016,1323240,0,0
2021,UPV,68193373,1202350,0,0
2022,UPV,65500510,1166960,0,0
2023,UPV,62807646,1132024,0,0
2024,UPV,60114783,1097198,0,0
2025,UPV,57421919,1062476,0,0
2026,UPV,54729056,1027855,0,0
2027,UPV,52036192,993330,0,0
2028,UPV,49343328,958898,0,0
2029,UPV,46650465,924554,0,0
2030,UPV,43957601,890297,0,0
2031,UPV,43565901,884407,0,0
2032,UPV,43174201,878532,0,0
2033,UPV,42782502,872672,0,0
2034,UPV,42390802,866827,0,0
2035,UPV,41999102,860996,0,0
2036,UPV,41607402,855179,0,0
2037,UPV,41215702,849377,0,0
2038,UPV,40824002,843588,0,0
2039,UPV,40432302,837812,0,0
2040,UPV,40040603,832050,0,0
2041,UPV,39648903,826301,0,0
2042,UPV,39257203,820565,0,0
2043,UPV,38865503,814842,0,0
2044,UPV,38473803,809131,0,0
2045,UPV,38082103,803432,0,0
2046,UPV,37690403,797746,0,0
2047,UPV,37298704,792071,0,0
2048,UPV,36907004,786408,0,0
2049,UPV,36515304,780757,0,0
2050,UPV,36123604,775117,0,0
2017,DISTPV,104323882,1098319,0,0
2018,DISTPV,104323882,1098319,0,0
2019,DISTPV,104323882,1098319,0,0
2020,DISTPV,104323882,1098319,0,0
2021,DISTPV,93469658,1048126,0,0
2022,DISTPV,89085557,1007158,0,0
2023,DISTPV,84701456,966189,0,0
2024,DISTPV,80317355,925220,0,0
2025,DISTPV,75933254,884252,0,0
2026,DISTPV,71549153,843283,0,0
2027,DISTPV,67165052,802315,0,0
2028,DISTPV,62780950,761346,0,0
2029,DISTPV,58396849,720377,0,0
2030,DISTPV,54012748,679409,0,0
2031,DISTPV,53385378,673546,0,0
2032,DISTPV,52758008,667683,0,0
2033,DISTPV,52130638,661821,0,0
2034,DISTPV,51503269,655958,0,0
2035,DISTPV,50875899,650095,0,0
2036,DISTPV,50248529,644233,0,0
2037,DISTPV,49621159,638370,0,0
2038,DISTPV,48993789,632508,0,0
2039,DISTPV,48366419,626645,0,0
2040,DISTPV,47739049,620782,0,0
2041,DISTPV,47111679,614920,0,0
2042,DISTPV,46484309,609057,0,0
2043,DISTPV,45856939,603194,0,0
2044,DISTPV,45229569,597332,0,0
2045,DISTPV,44602200,591469,0,0
2046,DISTPV,43974830,585606,0,0
2047,DISTPV,43347460,579744,0,0
2048,DISTPV,42720090,573881,0,0
2049,DISTPV,42092720,568018,0,0
2050,DISTPV,41465350,562156,0,0
2017,BATTERY_2,57806097,1445152,0,0
2018,BATTERY_2,57806097,1445152,0,0
2019,BATTERY_2,57806097,1445152,0,0
2020,BATTERY_2,57806097,1445152,0,0
2021,BATTERY_2,50116322,1252908,0,0
2022,BATTERY_2,48730487,1218262,0,0
2023,BATTERY_2,47344652,1183616,0,0
2024,BATTERY_2,45958817,1148970,0,0
2025,BATTERY_2,44572982,1114325,0,0
2026,BATTERY_2,43631890,1090797,0,0
2027,BATTERY_2,42690797,1067270,0,0
2028,BATTERY_2,41749705,1043743,0,0
2029,BATTERY_2,40808613,1020215,0,0
2030,BATTERY_2,39867520,996688,0,0
2031,BATTERY_2,39867520,996688,0,0
2032,BATTERY_2,39867520,996688,0,0
2033,BATTERY_2,39867520,996688,0,0
2034,BATTERY_2,39867520,996688,0,0
2035,BATTERY_2,39867520,996688,0,0
2036,BATTERY_2,39867520,996688,0,0
2037,BATTERY_2,39867520,996688,0,0
2038,BATTERY_2,39867520,996688,0,0
2039,BATTERY_2,39867520,996688,0,0
2040,BATTERY_2,39867520,996688,0,0
2041,BATTERY_2,39867520,996688,0,0
2042,BATTERY_2,39867520,996688,0,0
2043,BATTERY_2,39867520,996688,0,0
