t,i,r,rs,value
2023,HYDRO-PONDAGE,Andhra_Pradesh,4,0
2023,HYDRO-PONDAGE,Himachal_Pradesh,124,0
2023,HYDRO-PONDAGE,Jammu_Kashmir,126,0
2023,HYDRO-PONDAGE,Arunachal_Pradesh,144,0
2024,HYDRO-PONDAGE,Andhra_Pradesh,4,0
2024,HYDRO-PONDAGE,Arunachal_Pradesh,144,0
2024,HYDRO-PONDAGE,Himachal_Pradesh,124,0
2024,HYDRO-PONDAGE,Jammu_Kashmir,126,0
2025,HYDRO-PONDAGE,Andhra_Pradesh,4,230
2025,HYDRO-PONDAGE,Arunachal_Pradesh,144,0
2025,HYDRO-PONDAGE,Himachal_Pradesh,124,0
2025,HYDRO-PONDAGE,Jammu_Kashmir,126,0
2026,HYDRO-PONDAGE,Arunachal_Pradesh,144,2000
2026,HYDRO-PONDAGE,Himachal_Pradesh,124,0
2026,HYDRO-PONDAGE,Jammu_Kashmir,126,0
2027,HYDRO-PONDAGE,Himachal_Pradesh,124,0
2027,HYDRO-PONDAGE,Jammu_Kashmir,126,540
2028,HYDRO-PONDAGE,Himachal_Pradesh,124,382
2028,HYDRO-PONDAGE,Jammu_Kashmir,127,850
2023,HYDRO-ROR,West_Bengal,112,0
2023,HYDRO-ROR,Uttarakhand,116,0
2023,HYDRO-ROR,Himachal_Pradesh,124,0
2023,HYDRO-ROR,Jammu_Kashmir,127,0
2023,HYDRO-ROR,Punjab,129,0
2023,HYDRO-ROR,Kerala,135,0
2023,HYDRO-ROR,Sikkim,140,0
2023,HYDRO-ROR,Assam,141,0
2024,HYDRO-ROR,Assam,141,0
2024,HYDRO-ROR,Himachal_Pradesh,124,0
2024,HYDRO-ROR,Jammu_Kashmir,127,0
2024,HYDRO-ROR,Kerala,135,0
2024,HYDRO-ROR,Punjab,129,0
2024,HYDRO-ROR,Sikkim,140,0
2024,HYDRO-ROR,Uttarakhand,116,0
2024,HYDRO-ROR,West_Bengal,112,0
2025,HYDRO-ROR,Assam,141,120
2025,HYDRO-ROR,Himachal_Pradesh,124,1290
