t,st,rps_all,rps_solar,rps_wind
2010,AZ,0.0148,0,0
2011,AZ,0.0177,0,0
2012,AZ,0.0209,0,0
2013,AZ,0.0238,0,0
2014,AZ,0.0268,0,0
2015,AZ,0.029668916,0,0
2016,AZ,0.035406512,0,0
2017,AZ,0.040517344,0,0
2018,AZ,0.04589746,0,0
2019,AZ,0.050606453,0,0
2020,AZ,0.057829773,0,0
2021,AZ,0.063612751,0,0
2022,AZ,0.069395728,0,0
2023,AZ,0.075178705,0,0
2024,AZ,0.080961683,0,0
2025,AZ,0.08674466,0,0
2026,AZ,0.08674466,0,0
2027,AZ,0.08674466,0,0
2028,AZ,0.08674466,0,0
2029,AZ,0.08674466,0,0
2030,AZ,0.08674466,0,0
2031,AZ,0.08674466,0,0
2032,AZ,0.08674466,0,0
2033,AZ,0.08674466,0,0
2034,AZ,0.08674466,0,0
2035,AZ,0.08674466,0,0
2036,AZ,0.08674466,0,0
2037,AZ,0.08674466,0,0
2038,AZ,0.08674466,0,0
2039,AZ,0.08674466,0,0
2040,AZ,0.08674466,0,0
2041,AZ,0.08674466,0,0
2042,AZ,0.08674466,0,0
2043,AZ,0.08674466,0,0
2044,AZ,0.08674466,0,0
2045,AZ,0.08674466,0,0
2046,AZ,0.08674466,0,0
2047,AZ,0.08674466,0,0
2048,AZ,0.08674466,0,0
2049,AZ,0.08674466,0,0
2050,AZ,0.08674466,0,0
2010,CA,0.1678,0,0
2011,CA,0.1966,0,0
2012,CA,0.1966,0,0
2013,CA,0.194,0,0
2014,CA,0.2105,0,0
2015,CA,0.220936384,0,0
2016,CA,0.246001288,0,0
2017,CA,0.261122666,0,0
2018,CA,0.28033585,0,0
2019,CA,0.297907719,0,0
2020,CA,0.314693891,0,0
2021,CA,0.314699215,0,0
2022,CA,0.31470401,0,0
2023,CA,0.314702317,0,0
2024,CA,0.419602375,0,0
2025,CA,0.419603026,0,0
2026,CA,0.419605179,0,0
2027,CA,0.495899808,0,0
2028,CA,0.495901954,0,0
2029,CA,0.495903585,0,0
2030,CA,0.572198891,0,0
2031,CA,0.572202075,0,0
2032,CA,0.57220466,0,0
2033,CA,0.57220647,0,0
2034,CA,0.572207866,0,0
2035,CA,0.57220858,0,0
2036,CA,0.572208884,0,0
2037,CA,0.572209231,0,0
2038,CA,0.572209189,0,0
2039,CA,0.572209185,0,0
2040,CA,0.572209361,0,0
2041,CA,0.572209299,0,0
2042,CA,0.572209199,0,0
2043,CA,0.572209088,0,0
2044,CA,0.572209285,0,0
2045,CA,0.572209033,0,0
2046,CA,0.572209006,0,0
2047,CA,0.572208855,0,0
2048,CA,0.572208933,0,0
2049,CA,0.572208571,0,0
2050,CA,0.572207636,0,0
2010,CO,0.0246,0,0
2011,CO,0.0611,0,0
2012,CO,0.0622,0,0
2013,CO,0.0624,0,0
2014,CO,0.0624,0,0
2015,CO,0.108660828,0,0
2016,CO,0.107845968,0,0
2017,CO,0.105949049,0,0
2018,CO,0.106535949,0,0
2019,CO,0.10464691,0,0
2020,CO,0.193329948,0,0
2021,CO,0.193924477,0,0
2022,CO,0.194151643,0,0
2023,CO,0.195874786,0,0
2024,CO,0.196160388,0,0
2025,CO,0.196465901,0,0
2026,CO,0.196771387,0,0
2027,CO,0.197067219,0,0
2028,CO,0.197391872,0,0
2029,CO,0.197715506,0,0
2030,CO,0.197999767,0,0
2031,CO,0.198347369,0,0
2032,CO,0.198673121,0,0
2033,CO,0.199003743,0,0
2034,CO,0.199352142,0,0
2035,CO,0.1997093,0,0
2036,CO,0.200040313,0,0
2037,CO,0.200392076,0,0
2038,CO,0.200766397,0,0
