rs,r,nr,nr_new,rto,reg,st,interconnect,country,gg_reg
1,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
2,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
3,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
4,p1,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
5,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
6,p3,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
7,p4,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
8,p3,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
9,p2,nr11,nr1new,rto1,PA,WA,WSCC,USA,WA
10,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
11,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
12,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
14,p6,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
15,p6,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
16,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
17,p5,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
18,p7,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
19,p7,nr11,nr1new,rto1,PA,OR,WSCC,USA,OR
20,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
21,p8,nr13,nr1new,rto2,PA,CA,WSCC,USA,CA
22,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
23,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
24,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
25,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
26,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
27,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
28,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,CA
29,p9,nr13,nr4new,rto4,PA,CA,WSCC,USA,CA
30,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,CA
31,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,CA
32,p11,nr13,nr5new,rto4,PA,CA,WSCC,USA,CA
33,p10,nr13,nr5new,rto4,PA,CA,WSCC,USA,CA
34,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,NV
35,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,NV
36,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,NV
37,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,NV
38,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,NV
39,p12,nr11,nr2new,rto2,MTN,NV,WSCC,USA,NV
40,p13,nr12,nr7new,rto3,MTN,NV,WSCC,USA,NV
41,p14,nr11,nr1new,rto1,MTN,ID,WSCC,USA,ID
42,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,ID
43,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,ID
44,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,ID
45,p15,nr11,nr2new,rto1,MTN,ID,WSCC,USA,ID
46,p16,nr11,nr2new,rto1,MTN,ID,WSCC,USA,ID
47,p16,nr11,nr2new,rto1,MTN,ID,WSCC,USA,ID
48,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,UT
49,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,UT
50,p26,nr11,nr2new,rto2,MTN,UT,WSCC,USA,UT
51,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,UT
52,p25,nr11,nr2new,rto2,MTN,UT,WSCC,USA,UT
53,p27,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
54,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
55,p29,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
56,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
57,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
58,p30,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
59,p28,nr12,nr7new,rto3,MTN,AZ,WSCC,USA,AZ
60,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,MT
61,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,MT
62,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,MT
63,p17,nr11,nr1new,rto1,MTN,MT,WSCC,USA,MT
64,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA,MT
65,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA,MT
66,p20,nr11,nr1new,rto2,MTN,MT,WSCC,USA,MT
67,p18,nr11,nr1new,rto2,MTN,MT,WSCC,USA,MT
68,p19,nr11,nr1new,rto2,MTN,MT,WSCC,USA,MT
69,p20,nr11,nr1new,rto2,MTN,MT,WSCC,USA,MT
70,p21,nr11,nr2new,rto2,MTN,WY,WSCC,USA,WY
