*d,szn
d352,wint
d353,wint
d354,wint
d355,wint
d356,wint
d357,wint
d358,wint
d359,wint
d360,wint
d361,wint
d362,wint
d363,wint
d364,wint
d365,wint
d366,wint
d367,wint
d368,wint
d369,wint
d370,wint
d371,wint
d372,wint
d373,wint
d374,wint
d375,wint
d376,wint
d377,wint
d378,wint
d379,wint
d380,wint
d381,wint
d382,wint
d383,wint
d384,wint
d385,wint
d386,wint
d387,wint
d388,wint
d389,wint
d390,wint
d391,wint
d392,wint
d393,wint
d394,wint
d395,wint
d396,wint
d397,wint
d398,wint
d399,wint
d400,wint
d401,wint
d402,wint
d403,wint
d404,wint
d405,wint
d406,wint
d407,wint
d408,wint
d409,wint
d410,wint
d411,wint
d412,wint
d413,wint
d414,wint
d415,wint
d416,wint
d417,wint
d418,wint
d419,wint
d420,wint
d421,wint
d422,wint
d423,wint
d424,wint
d425,spri
d426,spri
d427,spri
d428,spri
d429,spri
d430,spri
d431,spri
d432,spri
d433,spri
d434,spri
d435,spri
d436,spri
d437,spri
d438,spri
d439,spri
d440,spri
d441,spri
d442,spri
d443,spri
d444,spri
d445,spri
d446,spri
d447,spri
d448,spri
d449,spri
d450,spri
d451,spri
d452,spri
d453,spri
d454,spri
d455,spri
d456,spri
d457,spri
d458,spri
d459,spri
d460,spri
d461,spri
d462,spri
d463,spri
d464,spri
d465,spri
d466,spri
d467,spri
d468,spri
d469,spri
d470,spri
d471,spri
d472,spri
d473,spri
d474,spri
d475,spri
d476,spri
d477,spri
d478,spri
d479,spri
d480,spri
d481,spri
d482,spri
d483,spri
d484,spri
d485,spri
d486,spri
d487,spri
d488,spri
d489,spri
d490,spri
d491,spri
d492,spri
d493,spri
d494,spri
d495,spri
d496,spri
d497,spri
d498,spri
d499,spri
d500,spri
d501,spri
d502,spri
d503,spri
d504,spri
d505,spri
d506,spri
d507,spri
d508,spri
d509,spri
d510,spri
d511,spri
d512,spri
d513,spri
d514,spri
d515,spri
d516,spri
d517,summ
d518,summ
d519,summ
d520,summ
d521,summ
d522,summ
d523,summ
d524,summ
d525,summ
d526,summ
d527,summ
d528,summ
d529,summ
d530,summ
d531,summ
d532,summ
d533,summ
d534,summ
d535,summ
d536,summ
d537,summ
d538,summ
d539,summ
d540,summ
d541,summ
d542,summ
d543,summ
d544,summ
d545,summ
d546,summ
d547,summ
d548,summ
d549,summ
d550,summ
d551,summ
d552,summ
d553,summ
d554,summ
d555,summ
d556,summ
d557,summ
d558,summ
d559,summ
d560,summ
d561,summ
d562,summ
d563,summ
d564,summ
d565,summ
d566,summ
d567,summ
d568,summ
d569,summ
d570,summ
d571,summ
d572,summ
d573,summ
d574,summ
d575,summ
d576,summ
d577,summ
d578,summ
d579,summ
d580,summ
d581,summ
d582,summ
d583,summ
d584,summ
d585,summ
d586,summ
d587,summ
d588,summ
d589,summ
d590,summ
d591,summ
d592,summ
d593,summ
d594,summ
d595,summ
d596,summ
d597,summ
d598,summ
d599,summ
d600,summ
d601,summ
d602,summ
d603,summ
d604,summ
d605,summ
d606,summ
d607,summ
d608,summ
d609,fall
d610,fall
d611,fall
d612,fall
d613,fall
d614,fall
d615,fall
d616,fall
d617,fall
d618,fall
d619,fall
d620,fall
d621,fall
d622,fall
d623,fall
d624,fall
d625,fall
d626,fall
d627,fall
d628,fall
d629,fall
d630,fall
d631,fall
d632,fall
d633,fall
d634,fall
d635,fall
d636,fall
d637,fall
d638,fall
d639,fall
d640,fall
d641,fall
d642,fall
d643,fall
d644,fall
d645,fall
d646,fall
d647,fall
d648,fall
d649,fall
d650,fall
d651,fall
d652,fall
d653,fall
d654,fall
d655,fall
d656,fall
d657,fall
d658,fall
d659,fall
d660,fall
d661,fall
d662,fall
d663,fall
d664,fall
d665,fall
d666,fall
d667,fall
d668,fall
d669,fall
d670,wint
d671,wint
d672,wint
d673,wint
d674,wint
d675,wint
d676,wint
d677,wint
d678,wint
d679,wint
d680,wint
d681,wint
d682,wint
d683,wint
d684,wint
d685,wint
d686,wint
d687,wint
d688,wint
d689,wint
d690,wint
d691,wint
d692,wint
d693,wint
d694,wint
d695,wint
d696,wint
d697,wint
d698,wint
d699,wint
d700,wint
d701,wint
d702,wint
d703,wint
d704,wint
d705,wint
d706,wint
d707,wint
d708,wint
d709,wint
d710,wint
d711,wint
d712,wint
d713,wint
d714,wint
d715,wint
d716,wint
d717,wint
d718,wint
d719,wint
d720,wint
d721,wint
d722,wint
d723,wint
d724,wint
d725,wint
d726,wint
d727,wint
d728,wint
d729,wint
d730,wint
d731,wint
d732,wint
d733,wint
d734,wint
d735,wint
d736,wint
d737,wint
d738,wint
d739,wint
d740,wint
d741,wint
d742,wint
d743,wint
d744,wint
d745,wint
d746,wint
d747,wint
d748,wint
d749,wint
d750,wint
d751,wint
d752,wint
d753,wint
d754,wint
d755,wint
d756,wint
d757,wint
d758,wint
d759,wint
d760,wint
d761,wint
d762,wint
d763,wint
d764,wint
d765,wint
d766,wint
d767,wint
d768,wint
d769,wint
d770,wint
d771,wint
d772,wint
d773,wint
d774,wint
d775,wint
d776,wint
d777,wint
d778,wint
d779,wint
d780,wint
d781,wint
d782,wint
d783,wint
d784,wint
d785,wint
d786,wint
d787,wint
d788,wint
d789,wint
d790,spri
d791,spri
d792,spri
d793,spri
d794,spri
d795,spri
d796,spri
d797,spri
d798,spri
d799,spri
d800,spri
d801,spri
d802,spri
d803,spri
d804,spri
d805,spri
d806,spri
d807,spri
d808,spri
d809,spri
d810,spri
d811,spri
d812,spri
d813,spri
d814,spri
d815,spri
d816,spri
d817,spri
d818,spri
d819,spri
d820,spri
d821,spri
d822,spri
d823,spri
d824,spri
d825,spri
d826,spri
d827,spri
d828,spri
d829,spri
d830,spri
d831,spri
d832,spri
d833,spri
d834,spri
d835,spri
d836,spri
d837,spri
d838,spri
d839,spri
d840,spri
d841,spri
d842,spri
d843,spri
d844,spri
d845,spri
d846,spri
d847,spri
d848,spri
d849,spri
d850,spri
d851,spri
d852,spri
d853,spri
d854,spri
d855,spri
d856,spri
d857,spri
d858,spri
d859,spri
d860,spri
d861,spri
d862,spri
d863,spri
d864,spri
d865,spri
d866,spri
d867,spri
d868,spri
d869,spri
d870,spri
d871,spri
d872,spri
d873,spri
d874,spri
d875,spri
d876,spri
d877,spri
d878,spri
d879,spri
d880,spri
d881,spri
d882,summ
d883,summ
d884,summ
d885,summ
d886,summ
d887,summ
d888,summ
d889,summ
d890,summ
d891,summ
d892,summ
d893,summ
d894,summ
d895,summ
d896,summ
d897,summ
d898,summ
d899,summ
d900,summ
d901,summ
d902,summ
d903,summ
d904,summ
d905,summ
d906,summ
d907,summ
d908,summ
d909,summ
d910,summ
d911,summ
d912,summ
d913,summ
d914,summ
d915,summ
d916,summ
d917,summ
d918,summ
d919,summ
d920,summ
d921,summ
d922,summ
d923,summ
d924,summ
d925,summ
d926,summ
d927,summ
d928,summ
d929,summ
d930,summ
d931,summ
d932,summ
d933,summ
d934,summ
d935,summ
d936,summ
d937,summ
d938,summ
d939,summ
d940,summ
d941,summ
d942,summ
d943,summ
d944,summ
d945,summ
d946,summ
d947,summ
d948,summ
d949,summ
d950,summ
d951,summ
d952,summ
d953,summ
d954,summ
d955,summ
d956,summ
d957,summ
d958,summ
d959,summ
d960,summ
d961,summ
d962,summ
d963,summ
d964,summ
d965,summ
d966,summ
d967,summ
d968,summ
d969,summ
d970,summ
d971,summ
d972,summ
d973,summ
d974,fall
d975,fall
d976,fall
d977,fall
d978,fall
d979,fall
d980,fall
d981,fall
d982,fall
d983,fall
d984,fall
d985,fall
d986,fall
d987,fall
d988,fall
d989,fall
d990,fall
d991,fall
d992,fall
d993,fall
d994,fall
d995,fall
d996,fall
d997,fall
d998,fall
d999,fall
d1000,fall
d1001,fall
d1002,fall
d1003,fall
d1004,fall
d1005,fall
d1006,fall
d1007,fall
d1008,fall
d1009,fall
d1010,fall
d1011,fall
d1012,fall
d1013,fall
d1014,fall
d1015,fall
d1016,fall
d1017,fall
d1018,fall
d1019,fall
d1020,fall
d1021,fall
d1022,fall
d1023,fall
d1024,fall
d1025,fall
d1026,fall
d1027,fall
d1028,fall
d1029,fall
d1030,fall
d1031,fall
d1032,fall
d1033,fall
d1034,fall
d1035,wint
d1036,wint
d1037,wint
d1038,wint
d1039,wint
d1040,wint
d1041,wint
d1042,wint
d1043,wint
d1044,wint
d1045,wint
d1046,wint
d1047,wint
d1048,wint
d1049,wint
d1050,wint
d1051,wint
d1052,wint
d1053,wint
d1054,wint
d1055,wint
d1056,wint
d1057,wint
d1058,wint
d1059,wint
d1060,wint
d1061,wint
d1062,wint
d1063,wint
d1064,wint
d1065,wint
d1066,wint
d1067,wint
d1068,wint
d1069,wint
d1070,wint
d1071,wint
d1072,wint
d1073,wint
d1074,wint
d1075,wint
d1076,wint
d1077,wint
d1078,wint
d1079,wint
d1080,wint
d1081,wint
d1082,wint
d1083,wint
d1084,wint
d1085,wint
d1086,wint
d1087,wint
d1088,wint
d1089,wint
d1090,wint
d1091,wint
d1092,wint
d1093,wint
d1094,wint
d1095,wint
d1096,wint
d1097,wint
d1098,wint
d1099,wint
d1100,wint
d1101,wint
d1102,wint
d1103,wint
d1104,wint
d1105,wint
d1106,wint
d1107,wint
d1108,wint
d1109,wint
d1110,wint
d1111,wint
d1112,wint
d1113,wint
d1114,wint
d1115,wint
d1116,wint
d1117,wint
d1118,wint
d1119,wint
d1120,wint
d1121,wint
d1122,wint
d1123,wint
d1124,wint
d1125,wint
d1126,wint
d1127,wint
d1128,wint
d1129,wint
d1130,wint
d1131,wint
d1132,wint
d1133,wint
d1134,wint
d1135,wint
d1136,wint
d1137,wint
d1138,wint
d1139,wint
d1140,wint
d1141,wint
d1142,wint
d1143,wint
d1144,wint
d1145,wint
d1146,wint
d1147,wint
d1148,wint
d1149,wint
d1150,wint
d1151,wint
d1152,wint
d1153,wint
d1154,wint
d1155,spri
d1156,spri
d1157,spri
d1158,spri
d1159,spri
d1160,spri
d1161,spri
d1162,spri
d1163,spri
d1164,spri
d1165,spri
d1166,spri
d1167,spri
d1168,spri
d1169,spri
d1170,spri
d1171,spri
d1172,spri
d1173,spri
d1174,spri
d1175,spri
d1176,spri
d1177,spri
d1178,spri
d1179,spri
d1180,spri
d1181,spri
d1182,spri
d1183,spri
d1184,spri
d1185,spri
d1186,spri
d1187,spri
d1188,spri
d1189,spri
d1190,spri
d1191,spri
d1192,spri
d1193,spri
d1194,spri
d1195,spri
d1196,spri
d1197,spri
d1198,spri
d1199,spri
d1200,spri
d1201,spri
d1202,spri
d1203,spri
d1204,spri
d1205,spri
d1206,spri
d1207,spri
d1208,spri
d1209,spri
d1210,spri
d1211,spri
d1212,spri
d1213,spri
d1214,spri
d1215,spri
d1216,spri
d1217,spri
d1218,spri
d1219,spri
d1220,spri
d1221,spri
d1222,spri
d1223,spri
d1224,spri
d1225,spri
d1226,spri
d1227,spri
d1228,spri
d1229,spri
d1230,spri
d1231,spri
d1232,spri
d1233,spri
d1234,spri
d1235,spri
d1236,spri
d1237,spri
d1238,spri
d1239,spri
d1240,spri
d1241,spri
d1242,spri
d1243,spri
d1244,spri
d1245,spri
d1246,spri
d1247,summ
d1248,summ
d1249,summ
d1250,summ
d1251,summ
d1252,summ
d1253,summ
d1254,summ
d1255,summ
d1256,summ
d1257,summ
d1258,summ
d1259,summ
d1260,summ
d1261,summ
d1262,summ
d1263,summ
d1264,summ
d1265,summ
d1266,summ
d1267,summ
d1268,summ
d1269,summ
d1270,summ
d1271,summ
d1272,summ
d1273,summ
d1274,summ
d1275,summ
d1276,summ
d1277,summ
d1278,summ
d1279,summ
d1280,summ
d1281,summ
d1282,summ
d1283,summ
d1284,summ
d1285,summ
d1286,summ
d1287,summ
d1288,summ
d1289,summ
d1290,summ
d1291,summ
d1292,summ
d1293,summ
d1294,summ
d1295,summ
d1296,summ
d1297,summ
d1298,summ
d1299,summ
d1300,summ
d1301,summ
d1302,summ
d1303,summ
d1304,summ
d1305,summ
d1306,summ
d1307,summ
d1308,summ
d1309,summ
d1310,summ
d1311,summ
d1312,summ
d1313,summ
d1314,summ
d1315,summ
d1316,summ
d1317,summ
d1318,summ
d1319,summ
d1320,summ
d1321,summ
d1322,summ
d1323,summ
d1324,summ
d1325,summ
d1326,summ
d1327,summ
d1328,summ
d1329,summ
d1330,summ
d1331,summ
d1332,summ
d1333,summ
d1334,summ
d1335,summ
d1336,summ
d1337,summ
d1338,summ
d1339,fall
d1340,fall
d1341,fall
d1342,fall
d1343,fall
d1344,fall
d1345,fall
d1346,fall
d1347,fall
d1348,fall
d1349,fall
d1350,fall
d1351,fall
d1352,fall
d1353,fall
d1354,fall
d1355,fall
d1356,fall
d1357,fall
d1358,fall
d1359,fall
d1360,fall
d1361,fall
d1362,fall
d1363,fall
d1364,fall
d1365,fall
d1366,fall
d1367,fall
d1368,fall
d1369,fall
d1370,fall
d1371,fall
d1372,fall
d1373,fall
d1374,fall
d1375,fall
d1376,fall
d1377,fall
d1378,fall
d1379,fall
d1380,fall
d1381,fall
d1382,fall
d1383,fall
d1384,fall
d1385,fall
d1386,fall
d1387,fall
d1388,fall
d1389,fall
d1390,fall
d1391,fall
d1392,fall
d1393,fall
d1394,fall
d1395,fall
d1396,fall
d1397,fall
d1398,fall
d1399,fall
d1400,wint
d1401,wint
d1402,wint
d1403,wint
d1404,wint
d1405,wint
d1406,wint
d1407,wint
d1408,wint
d1409,wint
d1410,wint
d1411,wint
d1412,wint
d1413,wint
d1414,wint
d1415,wint
d1416,wint
d1417,wint
d1418,wint
d1419,wint
d1420,wint
d1421,wint
d1422,wint
d1423,wint
d1424,wint
d1425,wint
d1426,wint
d1427,wint
d1428,wint
d1429,wint
d1430,wint
d1431,wint
d1432,wint
d1433,wint
d1434,wint
d1435,wint
d1436,wint
d1437,wint
d1438,wint
d1439,wint
d1440,wint
d1441,wint
d1442,wint
d1443,wint
d1444,wint
d1445,wint
d1446,wint
d1447,wint
d1448,wint
d1449,wint
d1450,wint
d1451,wint
d1452,wint
d1453,wint
d1454,wint
d1455,wint
d1456,wint
d1457,wint
d1458,wint
d1459,wint
d1460,wint
d1461,wint
d1462,wint
d1463,wint
d1464,wint
d1465,wint
d1466,wint
d1467,wint
d1468,wint
d1469,wint
d1470,wint
d1471,wint
d1472,wint
d1473,wint
d1474,wint
d1475,wint
d1476,wint
d1477,wint
d1478,wint
d1479,wint
d1480,wint
d1481,wint
d1482,wint
d1483,wint
d1484,wint
d1485,wint
d1486,wint
d1487,wint
d1488,wint
d1489,wint
d1490,wint
d1491,wint
d1492,wint
d1493,wint
d1494,wint
d1495,wint
d1496,wint
d1497,wint
d1498,wint
d1499,wint
d1500,wint
d1501,wint
d1502,wint
d1503,wint
d1504,wint
d1505,wint
d1506,wint
d1507,wint
d1508,wint
d1509,wint
d1510,wint
d1511,wint
d1512,wint
d1513,wint
d1514,wint
d1515,wint
d1516,wint
d1517,wint
d1518,wint
d1519,wint
d1520,spri
d1521,spri
d1522,spri
d1523,spri
d1524,spri
d1525,spri
d1526,spri
d1527,spri
d1528,spri
d1529,spri
d1530,spri
d1531,spri
d1532,spri
d1533,spri
d1534,spri
d1535,spri
d1536,spri
d1537,spri
d1538,spri
d1539,spri
d1540,spri
d1541,spri
d1542,spri
d1543,spri
d1544,spri
d1545,spri
d1546,spri
d1547,spri
d1548,spri
d1549,spri
d1550,spri
d1551,spri
d1552,spri
d1553,spri
d1554,spri
d1555,spri
d1556,spri
d1557,spri
d1558,spri
d1559,spri
d1560,spri
d1561,spri
d1562,spri
d1563,spri
d1564,spri
d1565,spri
d1566,spri
d1567,spri
d1568,spri
d1569,spri
d1570,spri
d1571,spri
d1572,spri
d1573,spri
d1574,spri
d1575,spri
d1576,spri
d1577,spri
d1578,spri
d1579,spri
d1580,spri
d1581,spri
d1582,spri
d1583,spri
d1584,spri
d1585,spri
d1586,spri
d1587,spri
d1588,spri
d1589,spri
d1590,spri
d1591,spri
d1592,spri
d1593,spri
d1594,spri
d1595,spri
d1596,spri
d1597,spri
d1598,spri
d1599,spri
d1600,spri
d1601,spri
d1602,spri
d1603,spri
d1604,spri
d1605,spri
d1606,spri
d1607,spri
d1608,spri
d1609,spri
d1610,spri
d1611,spri
d1612,summ
d1613,summ
d1614,summ
d1615,summ
d1616,summ
d1617,summ
d1618,summ
d1619,summ
d1620,summ
d1621,summ
d1622,summ
d1623,summ
d1624,summ
d1625,summ
d1626,summ
d1627,summ
d1628,summ
d1629,summ
d1630,summ
d1631,summ
d1632,summ
d1633,summ
d1634,summ
d1635,summ
d1636,summ
d1637,summ
d1638,summ
d1639,summ
d1640,summ
d1641,summ
d1642,summ
d1643,summ
d1644,summ
d1645,summ
d1646,summ
d1647,summ
d1648,summ
d1649,summ
d1650,summ
d1651,summ
d1652,summ
d1653,summ
d1654,summ
d1655,summ
d1656,summ
d1657,summ
d1658,summ
d1659,summ
d1660,summ
d1661,summ
d1662,summ
d1663,summ
d1664,summ
d1665,summ
d1666,summ
d1667,summ
d1668,summ
d1669,summ
d1670,summ
d1671,summ
d1672,summ
d1673,summ
d1674,summ
d1675,summ
d1676,summ
d1677,summ
d1678,summ
d1679,summ
d1680,summ
d1681,summ
d1682,summ
d1683,summ
d1684,summ
d1685,summ
d1686,summ
d1687,summ
d1688,summ
d1689,summ
d1690,summ
d1691,summ
d1692,summ
d1693,summ
d1694,summ
d1695,summ
d1696,summ
d1697,summ
d1698,summ
d1699,summ
d1700,summ
d1701,summ
d1702,summ
d1703,summ
d1704,fall
d1705,fall
d1706,fall
d1707,fall
d1708,fall
d1709,fall
d1710,fall
d1711,fall
d1712,fall
d1713,fall
d1714,fall
d1715,fall
d1716,fall
d1717,fall
d1718,fall
d1719,fall
d1720,fall
d1721,fall
d1722,fall
d1723,fall
d1724,fall
d1725,fall
d1726,fall
d1727,fall
d1728,fall
d1729,fall
d1730,fall
d1731,fall
d1732,fall
d1733,fall
d1734,fall
d1735,fall
d1736,fall
d1737,fall
d1738,fall
d1739,fall
d1740,fall
d1741,fall
d1742,fall
d1743,fall
d1744,fall
d1745,fall
d1746,fall
d1747,fall
d1748,fall
d1749,fall
d1750,fall
d1751,fall
d1752,fall
d1753,fall
d1754,fall
d1755,fall
d1756,fall
d1757,fall
d1758,fall
d1759,fall
d1760,fall
d1761,fall
d1762,fall
d1763,fall
d1764,fall
d1765,wint
d1766,wint
d1767,wint
d1768,wint
d1769,wint
d1770,wint
d1771,wint
d1772,wint
d1773,wint
d1774,wint
d1775,wint
d1776,wint
d1777,wint
d1778,wint
d1779,wint
d1780,wint
d1781,wint
d1782,wint
d1783,wint
d1784,wint
d1785,wint
d1786,wint
d1787,wint
d1788,wint
d1789,wint
d1790,wint
d1791,wint
d1792,wint
d1793,wint
d1794,wint
d1795,wint
d1796,wint
d1797,wint
d1798,wint
d1799,wint
d1800,wint
d1801,wint
d1802,wint
d1803,wint
d1804,wint
d1805,wint
d1806,wint
d1807,wint
d1808,wint
d1809,wint
d1810,wint
d1811,wint
d1812,wint
d1813,wint
d1814,wint
d1815,wint
d1816,wint
d1817,wint
d1818,wint
d1819,wint
d1820,wint
d1821,wint
d1822,wint
d1823,wint
d1824,wint
d1825,wint
d1826,wint
d1827,wint
d1828,wint
d1829,wint
d1830,wint
d1831,wint
d1832,wint
d1833,wint
d1834,wint
d1835,wint
d1836,wint
d1837,wint
d1838,wint
d1839,wint
d1840,wint
d1841,wint
d1842,wint
d1843,wint
d1844,wint
d1845,wint
d1846,wint
d1847,wint
d1848,wint
d1849,wint
d1850,wint
d1851,wint
d1852,wint
d1853,wint
d1854,wint
d1855,wint
d1856,wint
d1857,wint
d1858,wint
d1859,wint
d1860,wint
d1861,wint
d1862,wint
d1863,wint
d1864,wint
d1865,wint
d1866,wint
d1867,wint
d1868,wint
d1869,wint
d1870,wint
d1871,wint
d1872,wint
d1873,wint
d1874,wint
d1875,wint
d1876,wint
d1877,wint
d1878,wint
d1879,wint
d1880,wint
d1881,wint
d1882,wint
d1883,wint
d1884,wint
d1885,spri
d1886,spri
d1887,spri
d1888,spri
d1889,spri
d1890,spri
d1891,spri
d1892,spri
d1893,spri
d1894,spri
d1895,spri
d1896,spri
d1897,spri
d1898,spri
d1899,spri
d1900,spri
d1901,spri
d1902,spri
d1903,spri
d1904,spri
d1905,spri
d1906,spri
d1907,spri
d1908,spri
d1909,spri
d1910,spri
d1911,spri
d1912,spri
d1913,spri
d1914,spri
d1915,spri
d1916,spri
d1917,spri
d1918,spri
d1919,spri
d1920,spri
d1921,spri
d1922,spri
d1923,spri
d1924,spri
d1925,spri
d1926,spri
d1927,spri
d1928,spri
d1929,spri
d1930,spri
d1931,spri
d1932,spri
d1933,spri
d1934,spri
d1935,spri
d1936,spri
d1937,spri
d1938,spri
d1939,spri
d1940,spri
d1941,spri
d1942,spri
d1943,spri
d1944,spri
d1945,spri
d1946,spri
d1947,spri
d1948,spri
d1949,spri
d1950,spri
d1951,spri
d1952,spri
d1953,spri
d1954,spri
d1955,spri
d1956,spri
d1957,spri
d1958,spri
d1959,spri
d1960,spri
d1961,spri
d1962,spri
d1963,spri
d1964,spri
d1965,spri
d1966,spri
d1967,spri
d1968,spri
d1969,spri
d1970,spri
d1971,spri
d1972,spri
d1973,spri
d1974,spri
d1975,spri
d1976,spri
d1977,summ
d1978,summ
d1979,summ
d1980,summ
d1981,summ
d1982,summ
d1983,summ
d1984,summ
d1985,summ
d1986,summ
d1987,summ
d1988,summ
d1989,summ
d1990,summ
d1991,summ
d1992,summ
d1993,summ
d1994,summ
d1995,summ
d1996,summ
d1997,summ
d1998,summ
d1999,summ
d2000,summ
d2001,summ
d2002,summ
d2003,summ
d2004,summ
d2005,summ
d2006,summ
d2007,summ
d2008,summ
d2009,summ
d2010,summ
d2011,summ
d2012,summ
d2013,summ
d2014,summ
d2015,summ
d2016,summ
d2017,summ
d2018,summ
d2019,summ
d2020,summ
d2021,summ
d2022,summ
d2023,summ
d2024,summ
d2025,summ
d2026,summ
d2027,summ
d2028,summ
d2029,summ
d2030,summ
d2031,summ
d2032,summ
d2033,summ
d2034,summ
d2035,summ
d2036,summ
d2037,summ
d2038,summ
d2039,summ
d2040,summ
d2041,summ
d2042,summ
d2043,summ
d2044,summ
d2045,summ
d2046,summ
d2047,summ
d2048,summ
d2049,summ
d2050,summ
d2051,summ
d2052,summ
d2053,summ
d2054,summ
d2055,summ
d2056,summ
d2057,summ
d2058,summ
d2059,summ
d2060,summ
d2061,summ
d2062,summ
d2063,summ
d2064,summ
d2065,summ
d2066,summ
d2067,summ
d2068,summ
d2069,fall
d2070,fall
d2071,fall
d2072,fall
d2073,fall
d2074,fall
d2075,fall
d2076,fall
d2077,fall
d2078,fall
d2079,fall
d2080,fall
d2081,fall
d2082,fall
d2083,fall
d2084,fall
d2085,fall
d2086,fall
d2087,fall
d2088,fall
d2089,fall
d2090,fall
d2091,fall
d2092,fall
d2093,fall
d2094,fall
d2095,fall
d2096,fall
d2097,fall
d2098,fall
d2099,fall
d2100,fall
d2101,fall
d2102,fall
d2103,fall
d2104,fall
d2105,fall
d2106,fall
d2107,fall
d2108,fall
d2109,fall
d2110,fall
d2111,fall
d2112,fall
d2113,fall
d2114,fall
d2115,fall
d2116,fall
d2117,fall
d2118,fall
d2119,fall
d2120,fall
d2121,fall
d2122,fall
d2123,fall
d2124,fall
d2125,fall
d2126,fall
d2127,fall
d2128,fall
d2129,fall
d2130,wint
d2131,wint
d2132,wint
d2133,wint
d2134,wint
d2135,wint
d2136,wint
d2137,wint
d2138,wint
d2139,wint
d2140,wint
d2141,wint
