region,class,bin,capacity,supply_curve_cost_per_mw,dist_to_coast,sc_point_gid
s1,13,1,39.4723,785637.2119,32840.9297,12486
s1,13,2,44.7772,786513.0317,32842.707,12008
s1,13,3,60.6631,788329.8964,33093.4766,11530
s1,13,4,39.8431,796036.1031,33131.332,14397
s1,13,5,184.6701,797900.8133,34631.3203,11052
s1,13,6,283.5221,807603.0917,35971.7578,10574
s1,13,7,240.5418,818318.7988,35387.5898,15352
s1,13,8,17.369,823656.5171,34751.2344,3405
s1,13,9,24.8984,831367.2796,38400.1094,10096
s1,13,10,375.7574,834195.4086,37226.3359,12963
s1,13,11,397.1192,835195.9673,38449.457,12485
s1,13,12,397.1192,835723.9407,38626.1172,12007
s1,13,13,397.1192,838588.1807,38968.2266,11529
s1,13,14,33.8253,855567.771,34949.7422,6272
s1,13,15,397.1192,862133.9407,41865.6172,11051
s1,13,16,168.9839,866720.0189,34437.5312,13919
s1,13,17,387.1941,877385.1874,37961.1797,14396
s1,13,18,397.1192,882687.9528,44876.3242,10573
s1,13,19,277.7325,884386.4101,35806.2266,14874
s1,13,20,16.4278,889824.3558,35621.1875,6750
s1,13,21,286.802,894353.0116,35926.0703,13441
s1,13,22,140.1497,894959.5049,46414.8398,10095
s1,13,23,397.1192,920450.582,43867.707,15351
s1,13,24,397.1192,935093.354,49174.2461,12006
s1,13,25,397.1192,941229.7007,49443.6875,11528
s1,13,26,397.1192,946763.6473,48952.1758,12484
s1,13,27,356.3064,947594.6446,41744.2148,6271
s1,13,28,59.18,963059.0371,45136.5312,5793
s1,13,29,330.8091,967752.2372,45134.8633,7227
s1,13,30,397.1192,971165.3807,51897.1211,11050
s1,13,31,372.0497,973769.5422,48402.6445,7705
s1,13,32,387.8501,980564.5369,41997.4141,6749
s1,13,33,397.1192,999450.8214,44646.3242,13440
s1,13,34,397.1192,1002061.1528,55197.4922,10572
s1,13,35,77.1194,1017499.3534,57298.5781,5314
s1,13,36,397.1192,1034800.7414,41573.3398,13918
s1,13,37,397.1192,1040316.0753,44570.1367,14873
s1,13,38,397.1192,1042568.6881,47294.0234,12962
s1,13,39,397.1192,1056049.5414,47585.5703,14395
s1,13,40,346.8946,1061141.0378,56251.1133,10094
s1,13,41,397.1192,1062461.2306,64409.6484,5313
s1,13,42,335.8287,1075278.2516,65205.4727,4835
s1,13,43,276.5346,1082567.882,68129.5703,4357
s1,13,44,397.1192,1083383.0059,51948.6406,6270
s1,13,45,359.0729,1090534.4516,54919.0117,9616
s1,13,46,287.9428,1091345.2481,49515.3008,8183
s1,13,47,354.7663,1094851.7859,53016.8047,5792
s1,13,48,397.1192,1099228.794,59970.0625,11527
s1,13,49,397.1192,1100767.542,54453.9141,15350
s1,13,50,397.1192,1104213.8326,57971.8828,7704
s1,13,51,397.1192,1110715.994,59746.9219,12005
s1,13,52,397.1192,1113287.4326,54455.5508,7226
s1,13,53,397.1192,1113979.1948,59471.1602,12483
s1,13,54,397.1192,1121159.4886,55021.3945,14872
s1,13,55,397.1192,1122609.3913,58520.6016,8182
s1,13,56,397.1192,1123797.3526,52401.9453,6748
s1,13,57,397.1192,1131316.0967,54952.6406,9138
s1,13,58,71.4438,1135977.6428,48764.0859,9139
s1,13,59,397.1192,1140062.8214,57629.7148,12961
s1,13,60,397.1192,1140361.2214,57560.5625,14394
s1,13,61,196.1354,1142021.666,69072.7578,3879
s1,13,62,397.1192,1150462.0207,62030.2578,11049
s1,13,63,179.7361,1152887.6271,49070.2383,8661
s1,13,64,397.1192,1166320.3506,63201.4063,5791
s1,13,65,397.1192,1167636.5814,54825.5781,13439
s1,13,66,397.1192,1174593.5948,51619.3281,13917
s1,13,67,397.1192,1192586.1526,62552.9961,6269
s1,13,68,397.1192,1198306.9273,70524.5469,11526
s1,13,69,397.1192,1202455.5393,64752.8125,7225
s1,13,70,397.1192,1213889.4593,62928.9883,6747
s1,13,71,397.1192,1213926.234,70332.9141,12004
s1,13,72,397.1192,1220159.8881,61467.293,13916
s1,13,73,397.1192,1221691.0026,56656.1328,8660
s1,13,74,397.1192,1227362.8594,65377.8203,10571
s1,13,75,397.1192,1230900.0473,72284.7422,11048
s1,13,76,397.1192,1230990.1553,65526.9648,14871
s1,13,77,397.1192,1242392.8306,77183.0625,4356
s1,13,78,397.1192,1247219.1659,67847.9375,7703
s1,13,79,363.8073,1248476.5105,64759.0625,15349
s1,13,80,397.1192,1250130.7681,69969.7812,12482
s1,13,81,382.8305,1257195.3498,74986.3281,5312
s1,13,82,397.1192,1258023.1901,65053.1172,9615
s1,13,83,397.1192,1263935.8834,65481.1133,9137
s1,13,84,397.1192,1267893.1681,67685.3203,14393
s1,13,85,397.1192,1270955.3759,67124.2812,8659
s1,13,86,397.1192,1271687.6748,67934.4609,12960
s1,13,87,397.1192,1278491.7106,73788.6016,5790
s1,13,88,397.1192,1278719.3259,73158.875,6268
s1,13,89,340.0497,1283139.1958,76507.8281,4834
s1,13,90,397.1192,1283275.8446,68960.6562,8181
s1,13,91,397.1192,1287448.7831,66150.9141,10093
s1,13,92,89.6399,1291069.4318,78303.1797,3878
s1,13,93,397.1192,1297605.1926,73475.5234,6746
s1,13,94,397.1192,1303952.4993,75127.7734,7224
s1,13,95,397.1192,1322939.5681,71243.0469,13915
s1,13,96,397.1192,1333636.1007,80926.9766,12003
s1,13,97,317.5185,1334833.5832,76015.875,14870
s1,13,98,310.8448,1340541.9942,76071.7344,15348
s1,13,99,397.1192,1340871.6993,77838.3438,7702
s1,13,100,397.1192,1343198.4473,75431.5547,10570
s1,13,101,397.1192,1348391.7807,81096.1484,11525
s1,13,102,397.1192,1353665.4059,83766.1328,6267
s1,13,103,293.818,1355507.6945,86693.0469,4355
s1,13,104,397.1192,1368265.9393,79349.2109,8180
s1,13,105,397.1192,1371991.9659,84039.8516,6745
s1,13,106,32.3137,1380074.9628,88098.2422,3877
s1,13,107,397.1192,1387801.9506,84380.7266,5789
s1,13,108,397.1192,1389406.4726,85547.2422,7223
s1,13,109,369.0836,1396235.4,86190.1094,4833
s1,13,110,397.1192,1397399.3793,89714.8906,8179
s1,13,111,397.1192,1399767.1153,86621.8984,14869
s1,13,112,397.1192,1402353.2959,88062.0703,8657
