region,class,bin,capacity,supply_curve_cost_per_mw,dist_mi,sc_point_gid
s1,6,1,8.9667,305261.5469,26.169,1543
s1,7,1,92.1942,140303.4258,17.2292,1924
s1,7,2,14.4342,224648.1758,4.1855,9521
s1,7,3,5.6619,230786.5898,5.8594,9901
s1,7,4,80.3601,270152.3802,52.9331,1923
s1,7,5,28.3581,284673.9079,24.342,1544
s1,8,1,110.6865,68142.0522,5.8145,7248
s1,8,2,105.9723,76962.1695,7.2839,6863
s1,8,3,110.7645,86315.7907,6.9682,9905
s1,8,4,86.2893,104014.4164,9.3925,7623
s1,8,5,58.8303,114997.8212,4.2107,8383
s1,8,6,58.5873,120915.7563,5.7521,8003
s1,8,7,68.6963,123732.5541,9.5307,9145
s1,8,8,54.7722,129179.559,6.8696,8763
s1,8,9,76.6179,130586.8429,13.7588,6483
s1,8,10,64.2006,145748.9823,14.1958,7622
s1,8,11,39.2931,167415.5868,6.1331,9144
s1,8,12,113.3595,169187.5418,33.9005,2685
s1,8,13,36.5229,175870.854,5.9183,9142
s1,8,14,30.2049,180532.9038,1.4408,9522
s1,8,15,123.5791,186769.9865,40.7242,2684
s1,8,16,35.9278,194811.9234,6.7242,9524
s1,8,17,101.2685,212349.9291,43.2706,2304
s1,8,18,23.3939,214409.2515,4.4814,7243
s1,8,19,69.7167,220985.098,36.3555,5342
s1,8,20,9.0882,227804.5918,5.0462,9902
s1,8,21,21.2625,228781.3411,2.6435,9143
s1,8,22,30.6666,237388.7949,17.3656,6482
s1,8,23,11.8827,238512.5137,7.9663,8382
s1,8,24,24.3,242718.4505,13.0259,8762
s1,8,25,34.9677,248379.1181,24.2763,3066
s1,8,26,16.9614,249508.6303,10.965,8002
s1,8,27,130.1022,259398.3328,61.8251,2305
s1,8,28,27.1674,270637.6269,23.2487,6102
s1,8,29,32.7807,275509.2831,29.6848,5722
s1,8,30,71.5392,285949.6467,54.6143,2682
s1,8,31,12.8547,314674.4609,24.918,3446
s1,8,32,101.1609,325883.5836,74.2102,2303
s1,8,33,76.9095,354984.451,75.0394,3062
s1,8,34,11.3238,416704.4531,56.5597,2302
s1,8,35,8.8452,426749.9635,59.2991,1922
s1,9,1,188.0801,28408.3716,6.5638,6864
s1,9,2,179.577,50015.2681,11.612,6865
s1,9,3,157.0205,64580.607,13.345,6484
s1,9,4,106.1424,76268.8805,7.1286,10285
s1,9,5,108.378,84699.8482,9.8716,8006
s1,9,6,68.3802,99339.0111,2.7843,7626
s1,9,7,67.2867,101677.2185,3.0963,7244
s1,9,8,97.2729,102993.1729,8.567,8007
s1,9,9,75.1599,103340.4263,2.0766,7627
s1,9,10,74.0907,106287.7154,2.562,7245
s1,9,11,75.5973,113227.5472,4.9031,7247
s1,9,12,73.386,115378.9118,8.6491,7624
s1,9,13,77.0796,118714.2604,10.6586,6867
s1,9,14,102.3769,120448.2875,14.611,8765
s1,9,15,62.5482,120484.3851,6.814,7625
s1,9,16,132.192,132842.6568,27.728,5723
s1,9,17,58.1985,143056.7419,11.6743,8005
s1,9,18,42.3549,149393.7675,4.0045,6868
s1,9,19,141.183,152239.2892,34.8024,5343
s1,9,20,69.4008,154316.8967,18.0809,8385
s1,9,21,187.6446,158069.2089,41.8794,4963
s1,9,22,71.8534,161066.2385,20.6518,6103
s1,9,23,41.5044,173358.8252,5.9481,8004
s1,9,24,32.6592,177721.9039,2.9074,4213
s1,9,25,62.4024,227709.8761,32.1934,3065
s1,9,26,114.7689,234339.3814,51.9474,2686
s1,9,27,20.3148,245456.34,10.1464,9903
s1,9,28,136.7847,266147.8009,64.9924,3443
s1,9,29,46.7775,274750.9047,42.2139,3067
s1,9,30,109.9332,274824.1351,62.0277,3064
s1,9,31,142.1399,285016.1457,71.201,2683
s1,9,32,126.029,288090.5841,68.8409,3063
s1,9,33,65.2941,292881.4053,54.6448,4203
s1,9,34,73.5075,304065.1225,60.1405,3444
s1,9,35,56.5947,320679.3689,59.6348,3823
s1,9,36,31.8087,328512.7887,43.2546,4962
s1,9,37,13.8267,404126.125,53.1296,3445
s1,9,38,32.4891,413359.6457,67.0116,3442
s1,9,39,11.9799,414291.8906,55.9018,2306
s1,10,1,147.8169,79945.5273,16.4048,6485
s1,10,2,78.3918,86834.755,2.3558,4212
s1,10,3,97.3215,92460.7579,5.7093,9904
s1,10,4,62.9127,111701.023,4.5273,7246
s1,10,5,133.0668,113235.979,22.5548,6105
s1,10,6,49.2075,126967.9675,0.3064,4592
s1,10,7,47.0934,134425.4011,4.2343,4593
s1,10,8,62.5895,138241.2329,11.6687,6866
s1,10,9,88.0241,139342.7337,19.5432,6106
s1,10,10,83.5976,141353.4632,18.7734,6486
s1,10,11,43.1082,147398.3371,0.328,10284
s1,10,12,77.8572,147896.8126,18.8483,8764
s1,10,13,44.9715,150720.719,6.7473,6488
s1,10,14,40.824,157470.0502,4.814,3832
s1,10,15,96.245,159590.0344,27.5128,5724
s1,10,16,66.5781,166042.8865,20.438,6104
s1,10,17,44.1531,166251.922,10.238,3831
s1,10,18,46.6108,167380.9783,12.7822,6487
s1,10,19,35.9883,175120.8567,5.2273,6108
s1,10,20,47.0205,180610.6804,16.7628,3830
s1,10,21,32.1003,191565.2549,2.3561,5730
s1,10,22,26.244,195215.5062,1.8406,6109
s1,10,23,86.9668,196002.6725,34.6797,5344
s1,10,24,25.3206,199518.7941,2.1739,10665
s1,10,25,102.1329,200675.1707,40.2585,4964
s1,10,26,31.9302,202039.7392,8.8756,4211
s1,10,27,25.5636,206414.4304,0.4577,6490
s1,10,28,52.731,207939.3261,27.7397,5725
s1,10,29,26.6085,211619.772,6.6458,9523
s1,10,30,101.331,216837.7141,44.5069,4584
s1,10,31,6.2937,221658.9273,3.3703,6489
s1,10,32,39.8277,222455.0196,21.629,8384
s1,10,33,21.0924,223293.917,4.8102,5729
s1,10,34,9.5013,228387.86,1.3875,5351
s1,10,35,7.1442,229000.6699,5.3724,6491
s1,10,36,108.2079,230098.0863,49.4883,4204
s1,10,37,20.169,232117.41,6.3761,6110
s1,10,38,7.9947,232162.5566,6.2347,5728
s1,10,39,14.4099,234897.8496,3.1628,5350
s1,10,40,83.6892,252284.5258,49.0518,4583
s1,10,41,15.7464,253957.2266,12.1781,6107
s1,10,42,6.318,255347.6758,12.5573,5727
s1,10,43,24.9318,269606.2742,20.9332,5726
s1,10,44,29.0871,275054.1654,26.1998,3449
s1,10,45,13.7538,283160.2266,20.1419,3450
s1,10,46,43.74,294580.049,44.8575,4205
s1,10,47,28.2852,299093.5702,32.0258,4965
s1,10,48,23.9586,307781.2274,30.4581,5345
s1,10,49,28.8927,324011.5712,39.3737,4585
s1,10,50,22.0158,334699.4942,36.031,3068
s1,10,51,41.0184,340538.9491,54.9142,3824
s1,10,52,26.1711,357140.9369,45.9318,2687
s1,10,53,30.0591,362114.3238,50.8258,3825
s10,7,1,127.7208,55387.9158,5.7182,10663
s10,7,2,113.2623,61434.6179,0.6789,14458
s10,7,3,104.733,69345.1299,4.9607,11420
s10,7,4,94.8672,84835.4318,2.8989,14078
s10,7,5,83.2275,93402.341,5.5868,11041
s10,7,6,69.6924,100362.6453,3.4543,11040
