region,class,bin,capacity,supply_curve_cost_per_mw,sc_point_gid,dist_mi
p1,1,1,591.4529,2491.2388,416,0.6299
p1,1,2,16.27,3127.7822,6115,0.7908
p1,1,3,19.9843,3276.2275,4975,0.8284
p1,1,4,409.3364,3530.8618,6495,0.8928
p1,1,5,666.4498,3557.0122,4976,0.8994
p1,1,6,81.5884,4015.4893,5355,1.0153
p1,1,7,85.2042,5160.2505,7633,1.3047
p1,1,8,475.1265,5341.9297,7254,1.3507
p1,1,9,1748.3196,5781.6558,7629,1.4618
p1,1,10,1147.8724,6366.4355,6875,1.6097
p1,1,11,235.5635,6740.1636,4596,1.7042
p1,1,12,46.2257,6819.6929,6874,1.7243
p1,1,13,678.5156,8678.7764,5736,2.1944
p1,1,14,104.5691,10200.2129,5733,2.579
p1,1,15,67.2313,10276.5225,7632,2.5983
p1,1,16,10.3473,10754.04,5734,2.7191
p1,1,17,2014.3832,10766.7441,796,2.7223
p1,1,18,49.0536,11001.8594,5735,2.7817
p1,1,19,1044.8767,13864.8262,5356,3.5056
p1,1,20,538.7213,14103.5732,6872,3.566
p1,1,21,17.4416,16449.0645,6121,0.3412
p1,1,22,101.4042,17177.1309,3835,4.3431
p1,1,23,510.3674,17242.7969,6116,4.3597
p1,1,24,155.5796,17973.4883,5354,4.5445
p1,1,25,51.0494,18401.9004,5740,0.8349
p1,1,26,824.7252,18642.4277,2695,4.7136
p1,1,27,137.7907,18907.3711,7251,4.7806
p1,1,28,205.2164,18985.3555,1556,4.8003
p1,1,29,596.6473,25437.2051,417,6.4316
p1,1,30,27.5996,25589.248,6120,2.6522
p1,1,31,1830.4885,25816.9336,6496,2.7098
p1,1,32,844.7872,28279.0938,7630,7.1502
p1,1,33,1726.8344,28653.1953,1176,7.2447
p1,1,34,233.7906,28758.207,6493,7.2713
p1,1,35,1720.5281,28831.9258,8012,7.2899
p1,1,36,68.3796,29108.0,3455,7.3597
p1,1,37,49.8727,29639.043,3080,7.494
p1,1,38,214.0966,30064.1172,8019,3.7837
p1,1,39,2004.9406,30452.5508,7249,3.8819
p1,1,40,2863.1751,31875.9141,1177,8.0596
p1,1,41,3999.6426,35127.3672,8770,8.8817
p1,1,42,1094.7208,40158.0273,6871,10.1537
p1,1,43,68.4262,40479.832,4980,10.235
p1,1,44,3677.8252,40537.7461,8390,10.2497
p1,1,45,2426.677,41560.5391,8013,6.6904
p1,1,46,1141.6024,43105.082,4595,10.8988
p1,1,47,611.5435,43707.1211,7631,11.051
p1,1,48,1404.8432,43810.0039,4216,11.077
p1,1,49,1283.1878,43919.6367,7250,11.1048
p1,1,50,258.3706,46468.6641,4599,11.7493
p1,1,51,1178.782,48745.9805,6113,12.3251
p1,1,52,337.735,51382.9258,6499,12.9918
p1,1,53,5.9616,51440.8672,3460,13.0064
p1,1,54,820.9019,51549.8945,5739,13.034
p1,1,55,1109.6973,53293.2109,8011,13.4748
p1,1,56,245.3484,54778.6797,6878,10.0325
p1,1,57,1690.352,54935.6719,4974,13.8901
p1,1,58,195.4368,55639.8906,8775,14.0681
p1,1,59,2283.088,59425.6836,6492,15.0253
p1,1,60,1777.8398,59660.5195,8010,15.0847
p1,1,61,1701.788,59990.8477,4215,15.1682
p1,1,62,94.0896,62620.3945,4600,15.8331
p1,1,63,4022.4549,63175.3203,8771,15.9734
p1,1,64,704.8244,65612.1328,4594,16.5895
p1,1,65,1410.7011,67830.3906,7634,13.3326
p1,1,66,30.4379,67893.7031,3462,17.1664
p1,1,67,1004.9909,68610.6953,2316,17.3477
p1,1,68,574.1176,69554.3828,4214,17.5863
p1,1,69,1182.7815,74095.8906,5353,14.9168
p1,1,70,774.6063,74314.4766,6119,18.7899
p1,1,71,501.5442,75379.1016,1560,15.2412
p1,1,72,1774.9912,76620.5156,7637,19.3729
p1,1,73,3380.0019,81546.9375,5737,16.8007
p1,1,74,3536.745,83985.75,6117,17.4173
p1,1,75,2229.7834,85838.2812,4973,21.7036
p1,1,76,572.3395,85962.8516,7638,21.7351
p1,1,77,3314.9814,86381.7969,6112,21.841
p1,1,78,2938.9726,86854.9141,8017,18.1428
p1,1,79,3336.044,90023.0234,5357,18.9438
p1,1,80,2538.4155,90964.9766,5732,19.182
p1,1,81,128.7395,91925.4062,3842,23.2427
p1,1,82,2536.1915,93775.75,6491,19.8927
p1,1,83,1328.9184,94584.6016,8395,20.0972
p1,1,84,407.6464,95314.5781,2321,24.0996
p1,1,85,2809.8343,96568.4297,6497,20.5988
p1,1,86,1504.6871,98465.2891,5352,21.0784
p1,1,87,3449.9156,99654.5312,6876,21.3791
p1,1,88,757.3616,100074.6563,3834,25.3031
p1,1,89,544.587,100278.7422,800,25.3547
p1,1,90,601.9712,105895.6094,1180,26.7749
p1,1,91,2440.2746,107079.3594,4977,23.2564
p1,1,92,4042.3976,109849.3594,5738,23.9568
p1,1,93,893.2913,110560.0703,3074,24.1365
p1,1,94,3698.8255,111422.875,6118,24.3546
p1,1,95,501.0077,112603.6562,8018,28.471
p1,1,96,1731.881,115381.3047,3456,25.3555
p1,1,97,2296.5274,115625.7734,6877,25.4173
p1,1,98,3280.3547,115983.7188,5358,25.5078
p1,1,99,3760.1471,119191.0625,5731,26.3187
p1,1,100,3312.0419,119599.5859,7255,26.422
p1,1,101,1279.5408,120834.7422,6498,26.7343
p1,1,102,617.4636,121321.5547,3454,30.6753
p1,1,103,1460.5945,124742.2266,5351,27.7223
p1,1,104,3781.1552,125724.4609,7256,27.9707
p1,1,105,421.2907,127151.2812,3082,32.1493
p1,1,106,1805.0842,128521.7109,4597,28.6779
p1,1,107,3704.2842,129034.8438,4978,28.8077
p1,1,108,1279.6679,133249.0469,3075,33.691
p1,1,109,2240.9293,138419.9531,7257,31.1806
p1,1,110,1804.356,141999.0,3076,32.0856
p1,1,111,1382.0544,142816.4531,5359,32.2922
p1,1,112,3836.3752,146961.3906,4598,33.3403
p1,1,113,3210.153,147833.8594,7635,33.5609
p1,1,114,679.6094,151412.875,2320,38.2836
p1,1,115,2632.1578,151451.6875,9154,34.4756
p1,1,116,2025.9591,152523.6406,4217,34.7466
p1,1,117,3838.4538,152697.1875,7636,34.7905
p1,1,118,2134.4758,153303.3125,4979,34.9438
p1,1,119,1076.7764,158898.4062,3841,36.3585
p1,1,120,3802.0208,168053.25,4218,38.6732
p1,1,121,2661.4216,168502.1719,3836,38.7867
p1,1,122,3410.5511,176106.3594,8015,40.7094
p1,1,123,3783.0265,176770.5469,8014,40.8773
p1,1,124,2695.2704,177877.8281,3837,41.1573
p1,1,125,4065.267,179466.1719,8774,41.5589
p1,1,126,2517.9182,180049.2031,8016,41.7063
p1,1,127,3904.5397,185683.5625,8773,43.1309
p1,1,128,1208.279,187069.3906,4219,43.4813
p1,1,129,3851.4632,191124.7344,3838,44.5066
p1,1,130,3845.5484,196423.5781,8772,45.8464
p1,1,131,3581.6152,204074.3125,3457,47.7808
p1,1,132,4086.0754,204941.3594,8394,48.0001
p1,1,133,991.9118,207935.0,3839,48.757
p1,1,134,3692.9393,209891.3281,8393,49.2516
p1,1,135,3881.6653,215582.7344,3458,50.6907
p1,1,136,3425.372,218664.5625,8392,51.4699
p1,1,137,1023.0313,226987.8281,3840,53.5744
p1,1,138,3435.613,230488.7969,8391,54.4596
p1,1,139,2728.9356,230498.75,3459,54.4621
p1,1,140,3463.9903,230801.5938,3077,54.5386
p1,1,141,3414.675,241190.375,3078,57.1654
p1,1,142,2879.4761,242007.6875,8009,57.372
p1,1,143,3426.909,245591.2031,7628,58.2781
p1,1,144,2462.6255,251708.25,2696,59.8247
p1,1,145,1144.2255,254234.3281,3079,60.4634
p1,1,146,2236.1754,257883.6094,2697,61.3861
p1,1,147,3686.8476,262705.5312,8008,62.6053
p1,1,148,3796.6191,262999.6875,8389,62.6797
p1,1,149,1015.1179,266964.1562,3461,63.6821
p1,1,150,1891.0065,267148.6875,2698,63.7287
p1,1,151,642.9767,267381.75,2701,67.6055
p1,1,152,1819.8042,278908.5625,2699,66.7021
p1,1,153,3221.0706,282028.125,8388,67.4909
p1,1,154,3703.3823,285209.2812,2317,68.2952
p1,1,155,1467.8962,287781.125,3081,68.9455
p1,1,156,2353.2274,293374.2188,2700,70.3597
p1,1,157,1577.0662,293559.6875,2318,70.4066
p1,1,158,1558.8055,304210.8438,2319,73.0996
p1,1,159,3336.0258,312711.0625,1937,75.2488
p1,1,160,2680.6775,320305.4688,1938,77.169
p1,1,161,1577.4679,330307.7188,1939,79.698
p1,1,162,1536.5972,340352.9375,1557,82.2379
p1,1,163,3603.0354,347299.375,1558,83.9942
p1,1,164,2015.3189,356508.0,1559,86.3226
p1,1,165,3490.9289,374492.5938,1178,90.8698
p1,1,166,2759.6118,383013.8438,1179,93.0244
p1,1,167,3557.4008,395901.4062,797,96.2829
p1,1,168,3142.0457,401839.625,798,97.7843
p1,1,169,2200.8049,409760.125,799,99.787
p1,2,1,20.4898,5677.0293,7252,1.4354
p1,2,2,48.5585,6149.2007,6873,1.5548
p1,2,3,11.3581,23607.8809,7640,2.1512
p1,2,4,17.1072,35568.8789,8400,5.1755
p1,2,5,21.2492,40838.957,7641,6.508
p1,2,6,349.6245,64271.2695,8397,12.4327
p1,2,7,19.4244,73727.8906,7262,18.6415
p1,2,8,393.3516,77206.3828,6884,19.5211
p1,2,9,2867.4415,140002.7656,8020,35.3987
p1,2,10,2709.568,159567.0156,8021,40.3453
p1,2,11,1542.4525,169487.5469,8401,42.8537
p1,3,1,3977.0714,2341.8999,8784,0.5921
p1,3,2,434.852,14839.3818,7266,3.752
