filename,filepath,depends_on_switch,depends_on_switch_value,aggfunc,disaggfunc,region_col,fix_cols,i_col,wide,header,key,post_copy,GAMStype,GAMSname,comment,notes
#,for input files only,"switch(es) determinining whether or not the file is required ('|'-delimited for OR condition, ','-delimited for AND condition, 'ignore' for optional files, blank for required files)","value(s) of depends_on_switch that render the file mandatory ('|'-delimited for OR condition, '~'-prefixed for NOT condition)",,,,,,1 if any parameters are in wide format,0 if file has column labels,,files are created after copy_files,for auto-imported files,,,
i.csv,inputs/sets/i.csv,,,ignore,ignore,,,,,,,1,set,i,generation technologies,
ctt.csv,inputs/sets/ctt.csv,,,ignore,ignore,,,,,,,1,set,ctt,cooling technology type,
wst.csv,inputs/sets/wst.csv,,,ignore,ignore,,,,,,,1,set,wst,water source type,
w.csv,inputs/sets/w.csv,,,ignore,ignore,,,,,,,1,set,w,form of water use (withdrawal or consumption),
geotech.csv,inputs/sets/geotech.csv,,,ignore,ignore,,,,,,,1,set,geotech,broader geothermal categories,
i_subtech.csv,inputs/sets/i_subtech.csv,,,ignore,ignore,,,,,,,1,set,i_subtech,technology subset categories,
i_h2_ptc_gen.csv,inputs/sets/i_h2_ptc_gen.csv,,,ignore,ignore,,,,,,,1,set,i_h2_ptc_gen,technology subset category for clean generators which qualify for the hydrogen production tax credit,
sdbin.csv,inputs/sets/sdbin.csv,,,ignore,ignore,,,,,,,1,set,sdbin,storage duration bins,
tg.csv,inputs/sets/tg.csv,,,ignore,ignore,,,,,,,1,set,tg,tech groups for growth constraints,
pcat.csv,inputs/sets/pcat.csv,,,ignore,ignore,,,,,,,1,set,pcat,prescribed capacity categories,
ccseason.csv,inputs/sets/ccseason.csv,,,ignore,ignore,,,,,,,1,set,ccseason,seasons used for capacity credit; cold is Oct 15-April 14 and hot is April 15-Oct 14,
quarter.csv,inputs/sets/quarter.csv,,,ignore,ignore,,,,,,,1,set,quarter,original h17 seasons (four per year),
month.csv,inputs/sets/month.csv,,,ignore,ignore,,,,,,,1,set,month,calendar months in a year,
RPSCat.csv,inputs/sets/RPSCat.csv,,,ignore,ignore,,,,,,,,,RPSCat,,
aclike.csv,inputs/sets/aclike.csv,,,ignore,ignore,,,,,0,,,,aclike,,
acp_disallowed.csv,inputs/state_policies/acp_disallowed.csv,GSw_StateRPS,~0,ignore,ignore,*st,"RPSCat,val",,,0,,,,,,
acp_prices.csv,inputs/state_policies/acp_prices.csv,GSw_StateRPS,~0,ignore,ignore,st,st,,1,0,,,,,,
