r,tz
p1,PT
p2,PT
p3,PT
p4,PT
p5,PT
p6,PT
p7,PT
p8,PT
p9,PT
p10,PT
p11,PT
p12,PT
p13,PT
p14,PT
p15,MT
p16,MT
p17,MT
p18,MT
p19,MT
p20,MT
p21,MT
p22,MT
p23,MT
p24,MT
p25,MT
p26,MT
p27,MT
p28,MT
p29,MT
p30,MT
p31,MT
p32,MT
p33,MT
p34,MT
p35,MT
p36,CT
p37,CT
p38,CT
p39,MT
p40,CT
p41,CT
p42,CT
p43,CT
p44,CT
p45,CT
p46,CT
p47,MT
p48,CT
p49,CT
p50,CT
p51,CT
p52,CT
p53,CT
p54,CT
p55,CT
p56,CT
p57,CT
p58,CT
p59,MT
p60,CT
p61,CT
p62,CT
p63,CT
p64,CT
p65,CT
p66,CT
p67,CT
p68,CT
p69,CT
p70,CT
p71,CT
p72,CT
p73,CT
p74,ET
p75,CT
p76,CT
p77,CT
p78,CT
p79,CT
p80,CT
p81,CT
p82,CT
p83,CT
p84,CT
p85,CT
p86,CT
p87,CT
p88,CT
p89,CT
p90,CT
p91,CT
p92,CT
p93,CT
p94,ET
p95,ET
p96,ET
p97,ET
p98,ET
p99,ET
p100,ET
p101,ET
p102,ET
p103,ET
p104,ET
p105,ET
p106,ET
p107,ET
p108,CT
p109,ET
p110,ET
p111,ET
p112,ET
p113,ET
p114,ET
p115,ET
p116,ET
p117,ET
p118,ET
p119,ET
p120,ET
p121,ET
p122,ET
p123,ET
p124,ET
p125,ET
p126,ET
p127,ET
p128,ET
p129,ET
p130,ET
p131,ET
p132,ET
p133,ET
p134,ET
p135,PT
p136,PT
p137,PT
p138,PT
p139,PT
p140,MT
p141,MT
p142,CT
p143,CT
p144,ET
p145,ET
p146,ET
p147,ET
p148,ET
p149,ET
p150,ET
p151,ET
p157,MT
p158,MT
p159,MT
p160,MT
p161,MT
p162,MT
p163,MT
p164,MT
p165,MT
p166,CT
p167,CT
p168,CT
p169,CT
p170,CT
p171,CT
p172,CT
p173,CT
p174,CT
p175,CT
p176,CT
p177,CT
p178,CT
p179,CT
p180,CT
p181,CT
p182,CT
p183,CT
p184,CT
p185,CT
p186,CT
p187,CT
p188,CT
p189,CT
p190,CT
p191,CT
p192,CT
p193,CT
p194,CT
p195,CT
p196,CT
p197,CT
p198,CT
p199,CT
p200,CT
p201,PT
p202,PT
p203,PT
p204,PT
p205,MT
