t,st,rps_all,rps_solar,rps_wind
2010,AZ,0.0148,0,0
2011,AZ,0.0177,0,0
2012,AZ,0.0209,0,0
2013,AZ,0.0238,0,0
2014,AZ,0.0268,0,0
2015,AZ,0.029668916,0,0
2016,AZ,0.035406512,0,0
2017,AZ,0.040517344,0,0
2018,AZ,0.046305536,0,0
2019,AZ,0.052093728,0,0
2020,AZ,0.05788192,0,0
2021,AZ,0.063670112,0,0
2022,AZ,0.069458304,0,0
2023,AZ,0.075246496,0,0
2024,AZ,0.081034688,0,0
2025,AZ,0.08682288,0,0
2026,AZ,0.08682288,0,0
2027,AZ,0.08682288,0,0
2028,AZ,0.08682288,0,0
2029,AZ,0.08682288,0,0
2030,AZ,0.08682288,0,0
2031,AZ,0.08682288,0,0
2032,AZ,0.08682288,0,0
2033,AZ,0.08682288,0,0
2034,AZ,0.08682288,0,0
2035,AZ,0.08682288,0,0
2036,AZ,0.08682288,0,0
2037,AZ,0.08682288,0,0
2038,AZ,0.08682288,0,0
2039,AZ,0.08682288,0,0
2040,AZ,0.08682288,0,0
2041,AZ,0.08682288,0,0
2042,AZ,0.08682288,0,0
2043,AZ,0.08682288,0,0
2044,AZ,0.08682288,0,0
2045,AZ,0.08682288,0,0
2046,AZ,0.08682288,0,0
2047,AZ,0.08682288,0,0
2048,AZ,0.08682288,0,0
2049,AZ,0.08682288,0,0
2050,AZ,0.08682288,0,0
2010,CA,0.1678,0,0
2011,CA,0.1966,0,0
2012,CA,0.1966,0,0
2013,CA,0.194,0,0
2014,CA,0.2105,0,0
2015,CA,0.220936384,0,0
2016,CA,0.246001288,0,0
2017,CA,0.249131515,0,0
2018,CA,0.267588445,0,0
2019,CA,0.286046994,0,0
2020,CA,0.304498842,0,0
2021,CA,0.304498696,0,0
2022,CA,0.30450006,0,0
2023,CA,0.304501828,0,0
2024,CA,0.406004787,0,0
2025,CA,0.40600755,0,0
2026,CA,0.40601042,0,0
2027,CA,0.479833577,0,0
2028,CA,0.479835516,0,0
2029,CA,0.479838178,0,0
2030,CA,0.55366303,0,0
2031,CA,0.55366646,0,0
2032,CA,0.553669603,0,0
2033,CA,0.553672569,0,0
2034,CA,0.553674423,0,0
2035,CA,0.55367635,0,0
2036,CA,0.553678506,0,0
2037,CA,0.553680073,0,0
2038,CA,0.553681315,0,0
2039,CA,0.553682282,0,0
2040,CA,0.553683396,0,0
2041,CA,0.553683396,0,0
2042,CA,0.553683396,0,0
2043,CA,0.553683396,0,0
2044,CA,0.553683396,0,0
2045,CA,0.553683396,0,0
2046,CA,0.553683396,0,0
2047,CA,0.553683396,0,0
2048,CA,0.553683396,0,0
2049,CA,0.553683396,0,0
2050,CA,0.553683396,0,0
2010,CO,0.0246,0,0
2011,CO,0.0611,0,0
2012,CO,0.0622,0,0
2013,CO,0.0624,0,0
2014,CO,0.0624,0,0
2015,CO,0.108660828,0,0
2016,CO,0.107845968,0,0
2017,CO,0.105949049,0,0
2018,CO,0.106024932,0,0
2019,CO,0.106073828,0,0
2020,CO,0.192103004,0,0
2021,CO,0.192651911,0,0
2022,CO,0.193045427,0,0
2023,CO,0.194789386,0,0
2024,CO,0.19525019,0,0
2025,CO,0.195673329,0,0
2026,CO,0.196057283,0,0
2027,CO,0.196439861,0,0
2028,CO,0.196859475,0,0
2029,CO,0.19726019,0,0
2030,CO,0.197555527,0,0
2031,CO,0.197873647,0,0
2032,CO,0.198171567,0,0
2033,CO,0.198490593,0,0
2034,CO,0.198846,0,0
2035,CO,0.199219764,0,0
2036,CO,0.199596169,0,0
2037,CO,0.199985846,0,0
2038,CO,0.200389526,0,0
