st,csapr_cat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AL,Budget,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984,11984
AR,Budget,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355,8355
GA,Budget,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809,21809
IL,Budget,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,13245,8257,8257,7419,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311,7311
IN,Budget,21140,21140,21140,21140,21140,21140,21140,21140,21140,21140,21140,11839,11414,11387,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676
IA,Budget,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225,10225
KS,Budget,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281,7281
KY,Budget,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,19155,13879,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746,12746
LA,Budget,16909,16909,16909,16909,16909,16909,16909,16909,16909,16909,16909,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442
MD,Budget,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,1359,1148,1148,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222
MI,Budget,15443,15443,15443,15443,15443,15443,15443,15443,15443,15443,15443,11545,11149,9049,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877,8877
MS,Budget,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728,5728
MO,Budget,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315,14315
NJ,Budget,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1870,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
NY,Budget,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,4658,3098,3098,3103,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087,3087
