*r,nercr,transreg,cendiv,st,interconnect,country,usda,aggreg
p1,WECC_NWPP,NorthernGrid,PA,WA,western,USA,pacific,WA
p2,WECC_NWPP,NorthernGrid,PA,WA,western,USA,pacific,WA
p3,WECC_NWPP,NorthernGrid,PA,WA,western,USA,pacific,WA
p4,WECC_NWPP,NorthernGrid,PA,WA,western,USA,pacific,WA
p5,WECC_NWPP,NorthernGrid,PA,OR,western,USA,pacific,OR
p6,WECC_NWPP,NorthernGrid,PA,OR,western,USA,pacific,OR
p7,WECC_NWPP,NorthernGrid,PA,OR,western,USA,pacific,OR
p8,WECC_CA,CAISO,PA,CA,western,USA,pacific,CA_N
p9,WECC_CA,CAISO,PA,CA,western,USA,pacific,CA_N
p10,WECC_CA,CAISO,PA,CA,western,USA,pacific,CA_S
p11,WECC_CA,CAISO,PA,CA,western,USA,pacific,CA_S
p12,WECC_NWPP,NorthernGrid,MTN,NV,western,USA,mountain,NV
p13,WECC_NWPP,NorthernGrid,MTN,NV,western,USA,mountain,NV
p14,WECC_NWPP,NorthernGrid,MTN,ID,western,USA,mountain,ID
p15,WECC_NWPP,NorthernGrid,MTN,ID,western,USA,mountain,ID
p16,WECC_NWPP,NorthernGrid,MTN,ID,western,USA,mountain,ID
p17,WECC_NWPP,NorthernGrid,MTN,MT,western,USA,mountain,MT
p18,WECC_NWPP,NorthernGrid,MTN,MT,western,USA,mountain,MT
p19,WECC_NWPP,NorthernGrid,MTN,MT,western,USA,mountain,MT
p20,WECC_NWPP,NorthernGrid,MTN,MT,western,USA,mountain,MT
p21,WECC_NWPP,NorthernGrid,MTN,WY,western,USA,mountain,WY
p22,WECC_NWPP,NorthernGrid,MTN,WY,western,USA,mountain,WY
p23,WECC_NWPP,NorthernGrid,MTN,WY,western,USA,mountain,WY
p24,WECC_NWPP,NorthernGrid,MTN,WY,western,USA,mountain,WY
p25,WECC_NWPP,NorthernGrid,MTN,UT,western,USA,mountain,UT
p26,WECC_NWPP,NorthernGrid,MTN,UT,western,USA,mountain,UT
p27,WECC_SRSG,WestConnect,MTN,AZ,western,USA,mountain,AZ
p28,WECC_SRSG,WestConnect,MTN,AZ,western,USA,mountain,AZ
p29,WECC_SRSG,WestConnect,MTN,AZ,western,USA,mountain,AZ
p30,WECC_SRSG,WestConnect,MTN,AZ,western,USA,mountain,AZ
p31,WECC_SRSG,WestConnect,MTN,NM,western,USA,mountain,NM
p32,SPP,SPP,WNC,SD,eastern,USA,northern-plains,SD
p33,WECC_NWPP,WestConnect,MTN,CO,western,USA,mountain,CO
p34,WECC_NWPP,WestConnect,MTN,CO,western,USA,mountain,CO
p35,WECC_NWPP,NorthernGrid,MTN,MT,western,USA,mountain,MT
p36,SPP,SPP,WNC,ND,eastern,USA,northern-plains,ND
p37,SPP,SPP,WNC,ND,eastern,USA,northern-plains,ND
p38,SPP,SPP,WNC,SD,eastern,USA,northern-plains,SD
p39,SPP,SPP,WNC,NE,eastern,USA,northern-plains,NE
p40,SPP,SPP,WNC,NE,eastern,USA,northern-plains,NE
p41,SPP,SPP,WNC,NE,eastern,USA,northern-plains,NE
p42,MISO,MISO,WNC,MN,eastern,USA,lake-states,MN
p43,MISO,MISO,WNC,MN,eastern,USA,lake-states,MN
p44,MISO,MISO,WNC,MN,eastern,USA,lake-states,MN
p45,MISO,MISO,WNC,IA,eastern,USA,corn-belt,IA
p46,MISO,MISO,ENC,WI,eastern,USA,lake-states,WI
p47,WECC_SRSG,WestConnect,MTN,NM,western,USA,mountain,NM
p48,SPP,SPP,WSC,TX,eastern,USA,southern-plains,TX_SPP
p49,SPP,SPP,WSC,OK,eastern,USA,southern-plains,OK
p50,SPP,SPP,WSC,OK,eastern,USA,southern-plains,OK
p51,SPP,SPP,WSC,OK,eastern,USA,southern-plains,OK
p52,SPP,SPP,WNC,KS,eastern,USA,northern-plains,KS
p53,SPP,SPP,WNC,KS,eastern,USA,northern-plains,KS
p54,MISO,MISO,WNC,MO,eastern,USA,corn-belt,MO
p55,MISO,MISO,WNC,MO,eastern,USA,corn-belt,MO
p56,MISO,MISO,WSC,AR,eastern,USA,delta-states,AR
p57,MISO,MISO,WSC,TX,eastern,USA,southern-plains,TX_MISO
p58,MISO,MISO,WSC,LA,eastern,USA,delta-states,LA
p59,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p60,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p61,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p62,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_W
p63,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p64,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p65,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p66,MISO,MISO,WSC,TX,eastern,USA,southern-plains,TX_MISO
p67,ERCOT,ERCOT,WSC,TX,texas,USA,southern-plains,TX_ERCOT_E
p68,MISO,MISO,WNC,MN,eastern,USA,lake-states,MN
p69,MISO,MISO,WNC,IA,eastern,USA,corn-belt,IA
p70,MISO,MISO,WNC,IA,eastern,USA,corn-belt,IA
p71,MISO,MISO,WNC,MO,eastern,USA,corn-belt,MO
p72,MISO,MISO,WNC,MO,eastern,USA,corn-belt,MO
p73,MISO,MISO,WNC,MO,eastern,USA,corn-belt,MO
p74,MISO,MISO,ENC,MI,eastern,USA,lake-states,MI
p75,MISO,MISO,ENC,WI,eastern,USA,lake-states,WI
p76,MISO,MISO,ENC,WI,eastern,USA,lake-states,WI
p77,MISO,MISO,ENC,WI,eastern,USA,lake-states,WI
p78,MISO,MISO,ENC,WI,eastern,USA,lake-states,WI
p79,MISO,MISO,ENC,WI,eastern,USA,lake-states,WI
p80,PJM,PJM,ENC,IL,eastern,USA,corn-belt,IL_PJM
p81,MISO,MISO,ENC,IL,eastern,USA,corn-belt,IL_MISO
p82,MISO,MISO,ENC,IL,eastern,USA,corn-belt,IL_MISO
p83,MISO,MISO,ENC,IL,eastern,USA,corn-belt,IL_MISO
p84,MISO,MISO,WNC,MO,eastern,USA,corn-belt,MO
p85,MISO,MISO,WSC,AR,eastern,USA,delta-states,AR
p86,MISO,MISO,WSC,LA,eastern,USA,delta-states,LA
p87,MISO,MISO,ESC,MS,eastern,USA,delta-states,MS
p88,MISO,MISO,ESC,MS,eastern,USA,delta-states,MS
p89,SERC,SERTP,ESC,AL,eastern,USA,southeast,AL
p90,SERC,SERTP,ESC,AL,eastern,USA,southeast,AL
p91,SERC,FRCC,SA,FL,eastern,USA,southeast,FL
p92,SERC,SERTP,ESC,TN,eastern,USA,appalachia,TN
p93,PJM,PJM,ESC,KY,eastern,USA,appalachia,KY
p94,SERC,SERTP,SA,GA,eastern,USA,southeast,GA
p95,SERC,SERTP,SA,SC,eastern,USA,southeast,SC
p96,SERC,SERTP,SA,SC,eastern,USA,southeast,SC
p97,SERC,SERTP,SA,NC,eastern,USA,appalachia,NC
p98,SERC,SERTP,SA,NC,eastern,USA,appalachia,NC
p99,PJM,PJM,SA,VA,eastern,USA,appalachia,VA
p100,PJM,PJM,SA,VA,eastern,USA,appalachia,VA
p101,SERC,FRCC,SA,FL,eastern,USA,southeast,FL
p102,SERC,FRCC,SA,FL,eastern,USA,southeast,FL
p103,MISO,MISO,ENC,MI,eastern,USA,lake-states,MI
p104,MISO,MISO,ENC,MI,eastern,USA,lake-states,MI
p105,MISO,MISO,ENC,IN,eastern,USA,corn-belt,IN
p106,MISO,MISO,ENC,IN,eastern,USA,corn-belt,IN
p107,MISO,MISO,ENC,IN,eastern,USA,corn-belt,IN
