*r,nercr,transreg,transgrp,cendiv,st,interconnect,country,usda_region,aggreg
p1,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,WA,western,USA,pacific,p1
p2,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,WA,western,USA,pacific,p2
p3,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,WA,western,USA,pacific,p3
p4,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,WA,western,USA,pacific,p4
p5,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,OR,western,USA,pacific,p5
p6,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,OR,western,USA,pacific,p6
p7,WECC_NWPP,NorthernGrid,NorthernGrid_West,PA,OR,western,USA,pacific,p7
p8,WECC_NWPP,NorthernGrid,NorthernGrid_South,PA,CA,western,USA,pacific,p8
p9,WECC_CA,CAISO,CAISO,PA,CA,western,USA,pacific,p9
p10,WECC_CA,CAISO,CAISO,PA,CA,western,USA,pacific,p10
p11,WECC_CA,CAISO,CAISO,PA,CA,western,USA,pacific,p11
p12,WECC_NWPP,NorthernGrid,NorthernGrid_South,MTN,NV,western,USA,mountain,p12
p13,WECC_NWPP,NorthernGrid,NorthernGrid_South,MTN,NV,western,USA,mountain,p13
p14,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,ID,western,USA,mountain,p14
p15,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,ID,western,USA,mountain,p15
p16,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,ID,western,USA,mountain,p16
p17,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,MT,western,USA,mountain,p17
p18,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,MT,western,USA,mountain,p18
p19,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,MT,western,USA,mountain,p19
p20,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,MT,western,USA,mountain,p20
p21,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,WY,western,USA,mountain,p21
p22,WECC_NWPP,NorthernGrid,NorthernGrid_East,MTN,WY,western,USA,mountain,p22
p23,WECC_NWPP,WestConnect,WestConnect_North,MTN,WY,western,USA,mountain,p23
p24,WECC_NWPP,WestConnect,WestConnect_North,MTN,WY,western,USA,mountain,p24
p25,WECC_NWPP,NorthernGrid,NorthernGrid_South,MTN,UT,western,USA,mountain,p25
p26,WECC_NWPP,NorthernGrid,NorthernGrid_South,MTN,UT,western,USA,mountain,p26
p27,WECC_SRSG,WestConnect,WestConnect_South,MTN,AZ,western,USA,mountain,p27
p28,WECC_SRSG,WestConnect,WestConnect_South,MTN,AZ,western,USA,mountain,p28
p29,WECC_SRSG,WestConnect,WestConnect_South,MTN,AZ,western,USA,mountain,p29
p30,WECC_SRSG,WestConnect,WestConnect_South,MTN,AZ,western,USA,mountain,p30
p31,WECC_SRSG,WestConnect,WestConnect_South,MTN,NM,western,USA,mountain,p31
p32,WECC_NWPP,WestConnect,WestConnect_North,MTN,SD,western,USA,northern-plains,p32
p33,WECC_NWPP,WestConnect,WestConnect_North,MTN,CO,western,USA,mountain,p33
