*t,discovery rate
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0.034482759
2023,0.068965517
2024,0.103448276
2025,0.137931034
2026,0.172413793
2027,0.206896552
2028,0.24137931
2029,0.275862069
2030,0.310344828
2031,0.344827586
2032,0.379310345
2033,0.413793103
2034,0.448275862
2035,0.482758621
2036,0.517241379
2037,0.551724138
2038,0.586206897
2039,0.620689655
2040,0.655172414
2041,0.689655172
2042,0.724137931
2043,0.75862069
2044,0.793103448
2045,0.827586207
2046,0.862068966
2047,0.896551724
2048,0.931034483
2049,0.965517241
2050,1
