r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p01001,0.0113,-0.0237,-0.0236,-0.0204,-0.0033,-0.0128
p01003,0.0004,-0.0451,-0.0333,-0.0317,-0.0175,-0.0162
p01005,0.0086,-0.0331,-0.0294,-0.0245,-0.0073,-0.0164
p01007,0.0137,-0.0222,-0.0227,-0.0202,-0.0021,-0.012
p01009,0.0133,-0.0229,-0.0246,-0.0232,-0.0041,-0.0154
p01011,0.0108,-0.0277,-0.0263,-0.0222,-0.0043,-0.0144
p01013,0.0077,-0.0337,-0.0288,-0.0251,-0.0087,-0.0151
p01015,0.0159,-0.0115,-0.0177,-0.0159,0.0032,-0.0106
p01017,0.0162,-0.0081,-0.0153,-0.0131,0.0059,-0.0087
p01019,0.0161,-0.011,-0.0175,-0.016,0.0033,-0.0107
p01021,0.0129,-0.0214,-0.0224,-0.0197,-0.0018,-0.0121
p01023,0.0076,-0.035,-0.0285,-0.0265,-0.0098,-0.0138
p01025,0.0057,-0.0373,-0.0298,-0.0275,-0.0115,-0.0146
p01027,0.0157,-0.0105,-0.0169,-0.0148,0.0044,-0.0096
p01029,0.0175,-0.0026,-0.0126,-0.0109,0.0083,-0.0073
p01031,0.0062,-0.0394,-0.0325,-0.0274,-0.0111,-0.0178
p01033,0.0192,-0.0165,-0.0195,-0.0169,0.002,-0.011
p01035,0.0055,-0.0374,-0.0303,-0.0271,-0.0113,-0.0154
p01037,0.0141,-0.0176,-0.0206,-0.018,0.0005,-0.0115
p01039,0.0057,-0.0395,-0.0321,-0.0278,-0.0117,-0.0172
p01041,0.0086,-0.0341,-0.0293,-0.0253,-0.008,-0.0159
p01043,0.013,-0.0248,-0.0259,-0.0247,-0.0055,-0.0164
p01045,0.005,-0.0421,-0.0341,-0.0283,-0.0125,-0.0191
p01047,0.0101,-0.0284,-0.0257,-0.0227,-0.0057,-0.0135
p01049,0.0137,-0.0189,-0.0223,-0.0208,-0.0019,-0.0139
p01051,0.0132,-0.0204,-0.0221,-0.0189,-0.0008,-0.0122
p01053,0.0039,-0.0401,-0.0316,-0.0286,-0.0133,-0.0161
p01055,0.0143,-0.0179,-0.0217,-0.0202,-0.0012,-0.0135
