region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
p01001,3,72087,186.0,21860.5783,42765.6402,-20905.0618,1.3037,170.4418
p01001,3,72466,144.0,91841.2474,95112.2725,-3271.0251,15.2457,166.5473
p01001,4,71325,246.0,37167.1695,109144.3688,-71977.1993,14.5705,128.1341
p01001,4,71326,228.0,-26137.1976,39955.2415,-66092.439,0.7046,138.1726
p01001,4,71327,228.0,11369.8109,64197.682,-52827.8711,8.9457,136.6298
p01001,4,71328,204.0,69059.8652,77581.0487,-8521.1835,14.4651,138.6433
p01001,4,71706,234.0,-40500.0163,38673.1203,-79173.1366,0.4346,153.1468
p01001,4,71707,192.0,8616.9331,48522.8363,-39905.9032,1.791,151.1721
p01001,4,71708,186.0,147601.0673,83834.0837,63766.9835,16.4232,147.6802
p01001,4,72086,210.0,1228.5812,51115.893,-49887.3117,2.691,169.0055
p01001,4,72088,60.0,229221.98,49617.9498,179604.0301,7.0584,173.3692
p01003,4,78541,54.0,104626.72,82227.9092,22398.8109,16.5468,74.8138
p01003,4,78922,60.0,128384.0176,87670.6377,40713.3798,18.3053,86.2065
p01003,5,78161,150.0,74832.2346,108854.794,-34022.5594,21.9121,63.2389
p01005,3,72858,234.0,67322.4433,124827.2394,-57504.7961,23.9289,287.5652
p01005,3,73238,234.0,44252.1582,105061.2894,-60809.1311,21.7359,287.5652
p01005,3,73239,216.0,35880.7131,77583.926,-41703.2129,11.6276,317.0086
p01005,4,73616,228.0,63589.9756,126298.2927,-62708.3171,24.7619,266.6085
p01005,4,73618,228.0,66413.4649,126792.9394,-60379.4745,24.789,287.5652
p01005,4,73619,144.0,145780.161,60789.876,84990.285,6.602,317.0086
p01005,4,73996,186.0,14482.0318,61033.0345,-46551.0027,4.3674,302.6102
p01005,4,73998,240.0,1967.3451,72235.9254,-70268.5803,8.6283,323.5206
p01005,4,73999,192.0,108221.3288,93203.426,15017.9027,16.4786,317.0086
p01005,4,74376,222.0,-11657.3544,35793.5403,-47450.8947,0.09,302.8475
p01005,4,74377,222.0,13970.0095,72687.4914,-58717.4819,13.1268,304.0698
p01005,4,74378,228.0,-18255.2536,47983.1453,-66238.3989,1.8746,328.9439
p01005,4,74379,228.0,26095.9829,92255.4685,-66159.4856,10.2856,331.2222
p01005,4,74756,222.0,-10398.8765,35000.0215,-45398.898,0.0,304.0181
p01005,4,74757,240.0,-15826.0536,41473.2608,-57299.3145,0.9964,316.411
p01005,5,73617,138.0,58341.6132,92879.2894,-34537.6761,15.536,287.5652
