sc_point_gid,class,capacity,capital_adder_per_mw,cf
37787,8,20.38,3447780.74,0.3775
39149,8,75.56,4945929.14,0.4171
39150,8,301.61,1286314.26,0.4121
39834,8,83.14,4927129.3,0.4092
47359,8,136.37,3673740.38,0.3923
48042,8,112.75,4357369.62,0.395
48043,8,521.83,857149.35,0.392
48044,8,324.13,800120.56,0.388
48726,8,198.9,2686290.2,0.396
48727,8,270.22,1328974.38,0.3934
48728,8,368.42,792984.1,0.3887
49410,8,28.58,5018927.73,0.3961
49411,8,236.94,1630356.7,0.3925
49412,8,353.97,879290.72,0.3895
50095,8,47.11,4847457.04,0.3921
50096,8,216.98,2031828.78,0.3887
50779,8,50.84,4896512.08,0.3942
50780,8,167.44,3179954.05,0.3883
51462,8,26.67,4981946.88,0.395
51463,8,200.07,2578930.44,0.3926
51464,8,134.43,3339911.06,0.3872
52146,8,31.88,4938489.84,0.3964
52829,8,16.98,4708187.64,0.398
52830,8,89.2,4050921.26,0.3937
52831,8,249.51,818779.05,0.3894
52832,8,189.93,1687208.39,0.385
53513,8,201.01,2378175.44,0.3986
53514,8,337.25,1029084.03,0.3945
53515,8,367.16,565402.2,0.3896
53516,8,31.53,3393485.92,0.3856
54196,8,19.15,5233558.46,0.4036
54197,8,162.97,3355985.72,0.3985
54198,8,345.22,1050285.3,0.3945
54199,8,109.84,3358455.0,0.3888
54200,8,55.18,3367712.12,0.3841
54881,8,46.23,4709419.42,0.3987
54882,8,51.94,4224684.21,0.3952
54883,8,342.08,473701.78,0.3872
54884,8,15.45,3332602.88,0.3838
55563,8,65.42,4730020.07,0.4095
55566,8,239.37,998785.52,0.3935
55567,8,268.53,593104.74,0.3875
56249,8,264.12,1191992.54,0.3993
56250,8,530.45,561588.48,0.3944
56251,8,441.74,523927.86,0.3887
56932,8,82.17,4899777.52,0.4034
56933,8,393.56,993872.87,0.4003
56934,8,428.81,792050.39,0.3961
56935,8,381.15,658646.64,0.3915
57616,8,319.46,1322089.68,0.4041
57617,8,262.67,1021560.85,0.4005
57618,8,389.38,757359.47,0.3958
57619,8,304.66,741149.7,0.3914
57861,9,74.84,3273136.56,0.4804
57862,9,55.21,3278393.02,0.4839
58299,8,255.41,1499796.53,0.408
58300,8,140.23,3644951.47,0.4044
58301,8,326.59,916572.9,0.4004
58302,8,332.13,828407.86,0.3965
58303,8,182.67,2213800.3,0.3929
58545,9,281.85,449287.03,0.4843
58546,9,509.88,190728.8,0.4887
58547,9,300.28,386066.39,0.4941
58548,10,45.0,3224264.74,0.4981
58982,8,51.39,5017127.53,0.4119
58983,8,388.54,1245273.6,0.4084
58984,8,422.59,880594.24,0.4044
58985,8,281.62,857229.97,0.3997
58986,8,395.67,735196.8,0.3961
58987,8,49.09,3890845.47,0.3928
59228,9,98.69,3342199.66,0.483
59229,9,514.16,217311.21,0.4866
59230,9,530.84,113023.84,0.4916
59231,10,530.84,124729.98,0.496
59232,10,521.41,131508.16,0.4997
59233,10,331.94,318614.18,0.5031
59234,10,66.52,3016175.23,0.506
59665,8,24.36,5078970.77,0.4145
59666,8,239.89,1706583.82,0.4122
59667,8,118.03,4011545.88,0.4089
59668,8,476.54,752109.57,0.4048
59669,8,530.84,558958.6,0.4004
59670,8,396.48,671872.67,0.3961
59911,9,31.91,3292756.84,0.4762
59912,9,428.65,306087.91,0.4808
59913,9,530.84,118713.14,0.4861
59914,9,530.84,90725.03,0.4912
59915,10,530.84,109677.73,0.4963
59916,10,530.84,79440.22,0.5007
59917,10,530.84,12601.27,0.5042
59918,10,516.52,-7441.3,0.5067
59919,10,368.68,263330.08,0.5072
59920,10,91.21,3237694.0,0.5068
60350,8,243.06,1370674.27,0.4127
60351,8,466.62,670226.4,0.4097
60352,8,366.74,780595.38,0.4047
60353,8,529.51,560229.37,0.3999
60354,8,150.34,2749220.71,0.3964
60594,9,114.37,2887159.86,0.4677
60595,9,455.38,189755.35,0.4723
60596,9,514.61,130649.97,0.4775
60597,9,396.87,275423.37,0.4831
60598,9,335.24,332009.7,0.4892
60599,10,296.82,371130.84,0.4955
60600,10,352.93,296658.18,0.5007
60601,10,511.69,33331.72,0.5035
60602,10,530.84,-14597.05,0.506
60603,10,530.84,107475.85,0.5068
60604,10,528.67,151983.31,0.5071
60605,10,379.66,362513.35,0.5059
60606,10,125.06,2803805.64,0.5045
61032,8,57.8,4776713.6,0.4189
61033,8,161.03,3470764.55,0.4164
61034,8,499.83,851610.28,0.4133
61035,8,530.84,552400.72,0.4092
61036,8,530.84,465840.56,0.4047
61037,8,305.14,648773.61,0.4001
61272,8,26.34,3075089.58,0.4108
61277,9,162.55,2013743.73,0.4619
61278,9,459.95,164844.03,0.4647
61279,9,252.69,364331.03,0.4689
61280,9,33.15,3153108.98,0.4724
61285,10,60.91,2992975.56,0.5031
61286,10,437.4,150470.69,0.5041
61287,10,530.84,141408.4,0.5056
61288,10,530.84,174277.41,0.5067
61289,10,530.84,172153.27,0.5066
61290,10,530.84,134149.13,0.5051
61291,10,413.07,242613.98,0.503
61292,10,159.96,2048283.24,0.5014
61716,8,208.3,2388050.86,0.4197
61717,8,180.69,2958692.28,0.4166
61718,8,522.39,661254.54,0.413
61719,8,530.84,419259.15,0.4089
61720,8,307.41,613119.53,0.4047
61954,8,152.7,2106306.65,0.3974
61955,8,454.38,145174.85,0.4098
61956,8,452.6,151256.4,0.4253
61957,9,204.28,1193194.17,0.4409
61958,9,120.07,2758348.69,0.4502
61959,9,196.99,1342595.81,0.4567
61960,9,431.31,189905.39,0.4603
61961,9,441.22,213616.37,0.4619
61962,9,75.2,3189874.26,0.4622
